lat,lon,ta_avg,td_avg,hm_avg,ASR,DSR,RSR,Tnwb,Tg,WBGT
36.011266,128.697291,9.9,4.3,71.0,357.45193,413.33084,177.26341,6.966136161144059,10.306610786914826,7.927617470183806
36.015867,128.697481,9.1,3.8,73.0,357.45193,413.33084,177.26341,6.404434181671228,9.506610786914825,7.294426084552824
36.020467,128.697672,8.9,3.6,73.0,356.9808,412.39236,178.16542,6.216320711248649,9.306148910522461,7.102654279978546
36.025068,128.697863,9.0,3.7,73.0,355.96927,413.5693,177.12695,6.310377464591278,9.406728059053421,7.198609837024579
36.029669,128.698054,9.3,3.9,73.0,355.96927,413.5693,177.12695,6.592547507571716,9.706728059053422,7.486128867110885
36.034269,128.698245,10.0,4.3,71.0,346.0904,400.6981,187.50388,7.059599264038708,10.400348871946335,8.021789259216362
36.03887,128.698436,10.8,4.7,69.0,346.0904,400.6981,187.50388,7.612041912114201,11.200348871946336,8.648499112869207
36.011111,128.702953,10.0,4.3,71.0,356.9808,412.39236,178.16542,7.059599264038708,10.406148910522461,8.022949266931587
36.015712,128.703144,9.5,4.0,72.0,356.9808,412.39236,178.16542,6.686338584208588,9.906148910522461,7.611666791050504
36.020312,128.703335,9.4,4.0,73.0,356.9808,412.39236,178.16542,6.6866041166549675,9.806148910522461,7.5818526637629695
36.024913,128.703527,9.4,4.0,72.0,356.9808,412.39236,178.16542,6.592576531827833,9.806148910522461,7.516033354383976
36.029513,128.703718,9.7,4.1,72.0,346.0904,400.6981,187.50388,6.8738625783035125,10.100348871946334,7.801773579201725
36.034114,128.703909,10.3,4.5,70.0,346.0904,400.6981,187.50388,7.243772127624206,10.700348871946336,8.24071026372621
36.038715,128.704101,11.0,4.7,69.0,346.0904,400.6981,187.50388,7.79774601993779,11.400348871946335,8.83849198834572
36.043315,128.704292,11.7,5.4,68.0,346.0904,400.6981,187.50388,8.347568786161434,12.100348871946334,9.433367924702269
36.047916,128.704484,12.7,6.1,67.0,346.0904,400.6981,187.50388,9.169804697281847,13.100348871946334,10.30893306248656
36.052517,128.704675,12.7,6.2,68.0,346.0904,400.6981,187.50388,9.27296278043204,13.100348871946334,10.381143720691695
36.057118,128.704867,12.3,6.2,70.0,346.0904,400.6981,187.50388,9.106961743716624,12.700348871946336,10.144942994990904
36.061719,128.705058,12.1,6.2,71.0,346.0904,400.6981,187.50388,9.022315943238963,12.500348871946334,10.025690934656541
36.010956,128.708615,10.0,4.3,71.0,356.9808,412.39236,178.16542,7.059599264038708,10.406148910522461,8.022949266931587
36.015556,128.708807,9.8,4.2,72.0,356.9808,412.39236,178.16542,6.967624520288204,10.206148910522462,7.898566946306236
36.020157,128.708998,10.1,4.3,71.0,356.9808,412.39236,178.16542,7.153062329311245,10.50614891052246,8.118373412622363
36.024757,128.70919,10.4,4.5,70.0,356.9808,412.39236,178.16542,7.336931965907185,10.806148910522461,8.337082158239522
36.029358,128.709382,10.7,4.6,70.0,346.0904,400.6981,187.50388,7.616411250504887,11.100348871946334,8.621557649742687
36.033958,128.709574,10.9,4.7,69.0,346.0904,400.6981,187.50388,7.704893985624562,11.300348871946335,8.74349556432646
36.038559,128.709765,11.3,4.9,68.0,346.0904,400.6981,187.50388,7.977410090846062,11.700348871946336,9.05425683798151
36.04316,128.709957,12.1,5.7,68.0,346.0904,400.6981,187.50388,8.717726849575554,12.500348871946334,9.812478569092153
36.047761,128.710149,12.8,6.2,67.0,346.0904,400.6981,187.50388,9.262027038084167,13.200348871946336,10.403488701048182
36.052361,128.710341,12.4,6.2,69.0,346.0904,400.6981,187.50388,9.097670465505878,12.800348871946335,10.168439100243383
36.056962,128.710533,12.1,6.3,71.0,346.0904,400.6981,187.50388,9.022315943238963,12.500348871946334,10.025690934656541
36.061563,128.710725,12.1,6.3,72.0,346.0904,400.6981,187.50388,9.124139367548644,12.500348871946334,10.09696733167332
36.066164,128.710917,12.2,6.3,72.0,346.88644,401.16928,190.5173,9.217900468432866,12.60058422088623,10.192647172080251
36.070765,128.711109,12.2,6.3,72.0,346.88644,401.16928,190.5173,9.217900468432866,12.60058422088623,10.192647172080251
36.075367,128.711301,12.2,6.3,72.0,346.88644,401.16928,190.5173,9.217900468432866,12.60058422088623,10.192647172080251
36.006199,128.714085,10.5,4.6,70.0,356.9808,412.39236,178.16542,7.430091765719638,10.906148910522461,8.432294018108239
36.0108,128.714277,9.9,4.2,72.0,356.9808,412.39236,178.16542,7.061386425743631,10.306148910522461,7.994200280125034
36.0154,128.714469,9.9,4.3,71.0,356.9808,412.39236,178.16542,6.966136161144059,10.306148910522461,7.9275250949053335
36.020001,128.714661,10.5,4.6,70.0,356.9808,412.39236,178.16542,7.430091765719638,10.906148910522461,8.432294018108239
36.024601,128.714854,10.9,4.7,69.0,346.0904,400.6981,187.50388,7.704893985624562,11.300348871946335,8.74349556432646
36.029202,128.715046,11.2,4.8,68.0,346.0904,400.6981,187.50388,7.884870317160898,11.600348871946334,8.959478996401895
36.033802,128.715238,11.4,5.0,68.0,346.0904,400.6981,187.50388,8.069949824437812,11.800348871946335,9.149034651495736
36.038403,128.71543,11.8,5.5,68.0,346.0904,400.6981,187.50388,8.440108360884603,12.200348871946336,9.528145627008488
