lat,lon,ta_avg,td_avg,hm_avg,geometry,ASR,DSR,RSR,Tnwb,Tg,WBGT
37.219579,127.327754,12.8,6.7,69.0,POINT (127.327754 37.219579),305.75192,357.98264,200.24998,9.469076098713524,13.178408581018449,10.544034985303156
37.242659,127.328233,12.7,6.6,69.0,POINT (127.328233 37.242659),307.18655,359.97314,198.51537,9.376224745542011,13.079459142684936,10.449249150416394
37.219503,127.333526,12.7,6.7,68.0,POINT (127.333526 37.219503),305.75192,357.98264,200.24998,9.27296278043204,13.078408581018447,10.376755662506117
37.224118,127.333622,12.8,6.7,69.0,POINT (127.333622 37.224118),305.75192,357.98264,200.24998,9.469076098713524,13.178408581018449,10.544034985303156
37.228734,127.333718,12.7,6.7,68.0,POINT (127.333718 37.228734),305.75192,357.98264,200.24998,9.27296278043204,13.078408581018447,10.376755662506117
37.23335,127.333814,12.7,6.7,68.0,POINT (127.333814 37.23335),307.18655,359.97314,198.51537,9.27296278043204,13.079459142684936,10.376965774839414
37.237966,127.333911,12.8,6.6,69.0,POINT (127.333911 37.237966),307.18655,359.97314,198.51537,9.469076098713524,13.179459142684937,10.544245097636455
37.242582,127.334007,12.8,6.6,69.0,POINT (127.334007 37.242582),307.18655,359.97314,198.51537,9.469076098713524,13.179459142684937,10.544245097636455
37.247198,127.334103,12.6,6.5,70.0,POINT (127.334103 37.247198),307.18655,359.97314,198.51537,9.386438922489788,12.979459142684936,10.426399074279837
37.251815,127.334199,12.4,6.4,70.0,POINT (127.334199 37.251815),305.52118,356.17316,204.7289,9.200120839001668,12.77745100259781,10.23557478782073
37.256431,127.334296,12.2,6.3,70.0,POINT (127.334296 37.256431),305.52118,356.17316,204.7289,9.01380261256393,12.577451002597808,10.045152029314314
37.261047,127.334392,12.5,6.4,69.0,POINT (127.334392 37.261047),305.52118,356.17316,204.7289,9.190521929073453,12.877451002597809,10.25885555087098
37.210194,127.339105,12.8,6.7,68.0,POINT (127.339105 37.210194),312.04037,365.38458,194.30965,9.365501968259379,13.182300704717637,10.472311518725093
37.21481,127.339201,12.8,6.6,68.0,POINT (127.339201 37.21481),312.04037,365.38458,194.30965,9.365501968259379,13.182300704717637,10.472311518725093
37.219425,127.339298,12.8,6.7,69.0,POINT (127.339298 37.219425),305.75192,357.98264,200.24998,9.469076098713524,13.178408581018449,10.544034985303156
37.224041,127.339394,12.8,6.7,69.0,POINT (127.339394 37.224041),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.228657,127.339491,12.8,6.7,68.0,POINT (127.339491 37.228657),312.04037,365.38458,194.30965,9.365501968259379,13.182300704717637,10.472311518725093
37.233273,127.339587,12.8,6.6,68.0,POINT (127.339587 37.233273),312.04037,365.38458,194.30965,9.365501968259379,13.182300704717637,10.472311518725093
37.237889,127.339684,12.8,6.6,69.0,POINT (127.339684 37.237889),307.18655,359.97314,198.51537,9.469076098713524,13.179459142684937,10.544245097636455
37.242505,127.339781,12.6,6.6,70.0,POINT (127.339781 37.242505),307.18655,359.97314,198.51537,9.386438922489788,12.979459142684936,10.426399074279837
37.247121,127.339877,12.3,6.4,70.0,POINT (127.339877 37.247121),304.64426,356.66156,200.94997,9.106961743716624,12.677709686756135,10.140415157952864
37.251737,127.339974,12.1,6.4,70.0,POINT (127.339974 37.251737),305.52118,356.17316,204.7289,8.920643445412553,12.477451002597808,9.94994061230835
37.256354,127.340071,11.9,6.3,70.0,POINT (127.340071 37.256354),305.52118,356.17316,204.7289,8.734325002586392,12.27745100259781,9.759517702330035
37.26097,127.340167,12.5,6.4,69.0,POINT (127.340167 37.26097),305.52118,356.17316,204.7289,9.190521929073453,12.877451002597809,10.25885555087098
37.265586,127.340264,12.7,6.5,69.0,POINT (127.340264 37.265586),306.9826,359.7596,198.58653,9.376224745542011,13.0793466091156,10.449226643702527
37.270203,127.340361,12.7,6.5,69.0,POINT (127.340361 37.270203),305.52118,356.17316,204.7289,9.376224745542011,13.077451002597808,10.44884752239897
37.274819,127.340457,12.6,6.4,69.0,POINT (127.340457 37.274819),305.52118,356.17316,204.7289,9.283373355706965,12.977451002597808,10.353851549514436
37.284052,127.340651,12.7,6.4,69.0,POINT (127.340651 37.284052),306.9826,359.7596,198.58653,9.376224745542011,13.0793466091156,10.449226643702527
37.288668,127.340748,12.7,6.4,68.0,POINT (127.340748 37.288668),306.9826,359.7596,198.58653,9.27296278043204,13.0793466091156,10.376943268125547
37.205501,127.344779,12.8,6.7,69.0,POINT (127.344779 37.205501),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.210116,127.344875,12.8,6.6,68.0,POINT (127.344875 37.210116),312.04037,365.38458,194.30965,9.365501968259379,13.182300704717637,10.472311518725093
37.214732,127.344972,12.8,6.7,68.0,POINT (127.344972 37.214732),312.04037,365.38458,194.30965,9.365501968259379,13.182300704717637,10.472311518725093
37.219348,127.345069,12.8,6.6,69.0,POINT (127.345069 37.219348),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.223964,127.345166,12.8,6.6,69.0,POINT (127.345166 37.223964),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.22858,127.345263,12.7,6.7,68.0,POINT (127.345263 37.22858),312.04037,365.38458,194.30965,9.27296278043204,13.082300704717635,10.377534087245955
37.233196,127.34536,12.7,6.7,68.0,POINT (127.34536 37.233196),312.04037,365.38458,194.30965,9.27296278043204,13.082300704717635,10.377534087245955
37.237812,127.345457,12.8,6.6,69.0,POINT (127.345457 37.237812),304.64426,356.66156,200.94997,9.469076098713524,13.177709686756135,10.543895206450692
37.242428,127.345554,12.6,6.5,70.0,POINT (127.345554 37.242428),304.64426,356.66156,200.94997,9.386438922489788,12.977709686756134,10.426049183094078
37.247044,127.345652,12.0,6.4,70.0,POINT (127.345652 37.247044),304.64426,356.66156,200.94997,8.827484242130812,12.377709686756134,9.854780906842795
37.25166,127.345749,11.7,6.3,71.0,POINT (127.345749 37.25166),304.64426,356.66156,200.94997,8.648466368406998,12.077709686756133,9.639468395236126
37.256276,127.345846,11.6,6.3,71.0,POINT (127.345846 37.256276),306.9826,359.7596,198.58653,8.555003886643457,11.9793466091156,9.544372042473539
37.260892,127.345943,12.2,6.3,70.0,POINT (127.345943 37.260892),306.9826,359.7596,198.58653,9.01380261256393,12.5793466091156,10.045531150617872
37.265509,127.34604,12.7,6.5,69.0,POINT (127.34604 37.265509),306.9826,359.7596,198.58653,9.376224745542011,13.0793466091156,10.449226643702527
37.270125,127.346137,12.6,6.4,69.0,POINT (127.346137 37.270125),306.9826,359.7596,198.58653,9.283373355706965,12.9793466091156,10.354230670817996
37.274741,127.346234,12.4,6.3,69.0,POINT (127.346234 37.274741),306.9826,359.7596,198.58653,9.097670465505878,12.779346609115601,10.164238647677236
37.279358,127.346331,12.3,6.3,69.0,POINT (127.346331 37.279358),306.9826,359.7596,198.58653,9.00481896486798,12.679346609115601,10.069242597230707
37.283974,127.346429,12.5,6.3,69.0,POINT (127.346429 37.283974),306.9826,359.7596,198.58653,9.190521929073453,12.8793466091156,10.259234672174536
37.288591,127.346526,12.7,6.4,68.0,POINT (127.346526 37.288591),306.9826,359.7596,198.58653,9.27296278043204,13.0793466091156,10.376943268125547
37.293207,127.346623,12.7,6.4,68.0,POINT (127.346623 37.293207),304.00574,356.27307,201.38078,9.27296278043204,13.077503931522369,10.376574732606901
37.205423,127.350549,12.8,6.7,69.0,POINT (127.350549 37.205423),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.210039,127.350646,12.8,6.7,69.0,POINT (127.350646 37.210039),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.214655,127.350744,12.8,6.7,69.0,POINT (127.350744 37.214655),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.21927,127.350841,12.8,6.7,69.0,POINT (127.350841 37.21927),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.223886,127.350939,12.8,6.7,69.0,POINT (127.350939 37.223886),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.228502,127.351036,12.7,6.6,68.0,POINT (127.351036 37.228502),312.04037,365.38458,194.30965,9.27296278043204,13.082300704717635,10.377534087245955
37.233118,127.351133,12.7,6.6,68.0,POINT (127.351133 37.233118),312.04037,365.38458,194.30965,9.27296278043204,13.082300704717635,10.377534087245955
37.237734,127.351231,12.8,6.6,68.0,POINT (127.351231 37.237734),304.64426,356.66156,200.94997,9.365501968259379,13.177709686756135,10.471393315132794
37.24235,127.351328,12.7,6.6,69.0,POINT (127.351328 37.24235),304.64426,356.66156,200.94997,9.376224745542011,13.077709686756133,10.448899259230634
37.246966,127.351426,12.1,6.4,70.0,POINT (127.351426 37.246966),304.64426,356.66156,200.94997,8.920643445412553,12.477709686756134,9.949992349140015
37.251582,127.351523,11.5,6.3,71.0,POINT (127.351523 37.251582),306.9826,359.7596,198.58653,8.461541369401582,11.8793466091156,9.448948280404228
37.256198,127.351621,12.0,6.3,70.0,POINT (127.351621 37.256198),306.9826,359.7596,198.58653,8.827484242130812,12.3793466091156,9.85510829131469
37.260815,127.351718,11.6,6.3,70.0,POINT (127.351718 37.260815),306.9826,359.7596,198.58653,8.454847065044113,11.9793466091156,9.474262267354
37.265431,127.351816,12.1,6.3,70.0,POINT (127.351816 37.265431),306.9826,359.7596,198.58653,8.920643445412553,12.4793466091156,9.950319733611906
37.270047,127.351913,12.1,6.3,70.0,POINT (127.351913 37.270047),306.9826,359.7596,198.58653,8.920643445412553,12.4793466091156,9.950319733611906
37.274664,127.352011,11.9,6.3,70.0,POINT (127.352011 37.274664),306.9826,359.7596,198.58653,8.734325002586392,12.279346609115601,9.759896823633595
37.27928,127.352108,12.0,6.3,70.0,POINT (127.352108 37.27928),306.9826,359.7596,198.58653,8.827484242130812,12.3793466091156,9.85510829131469
37.283897,127.352206,12.5,6.3,69.0,POINT (127.352206 37.283897),306.9826,359.7596,198.58653,9.190521929073453,12.8793466091156,10.259234672174536
37.288513,127.352304,12.7,6.4,68.0,POINT (127.352304 37.288513),306.9826,359.7596,198.58653,9.27296278043204,13.0793466091156,10.376943268125547
37.29313,127.352401,12.7,6.4,68.0,POINT (127.352401 37.29313),304.00574,356.27307,201.38078,9.27296278043204,13.077503931522369,10.376574732606901
37.302363,127.352597,12.6,6.3,67.0,POINT (127.352597 37.302363),304.00574,356.27307,201.38078,9.077582316986636,12.977503931522369,10.209808408195117
37.200729,127.356222,12.8,6.7,70.0,POINT (127.356222 37.200729),312.04037,365.38458,194.30965,9.572756864063958,13.182300704717637,10.6173899457883
37.205345,127.356319,12.8,6.7,70.0,POINT (127.356319 37.205345),312.04037,365.38458,194.30965,9.572756864063958,13.182300704717637,10.6173899457883
37.209961,127.356417,12.7,6.7,70.0,POINT (127.356417 37.209961),312.04037,365.38458,194.30965,9.479597910951776,13.082300704717635,10.52217867860977
37.214576,127.356515,12.3,6.6,71.0,POINT (127.356515 37.214576),312.04037,365.38458,194.30965,9.209240521097191,12.682300704717637,10.212928505711561
37.219192,127.356613,12.7,6.7,70.0,POINT (127.356613 37.219192),312.04037,365.38458,194.30965,9.479597910951776,13.082300704717635,10.52217867860977
37.223808,127.356711,12.8,6.6,69.0,POINT (127.356711 37.223808),312.04037,365.38458,194.30965,9.469076098713524,13.182300704717637,10.544813410042995
37.228424,127.356809,12.8,6.6,68.0,POINT (127.356809 37.228424),312.04037,365.38458,194.30965,9.365501968259379,13.182300704717637,10.472311518725093
37.23304,127.356906,12.8,6.6,69.0,POINT (127.356906 37.23304),304.64426,356.66156,200.94997,9.469076098713524,13.177709686756135,10.543895206450692
37.237656,127.357004,12.8,6.6,69.0,POINT (127.357004 37.237656),304.64426,356.66156,200.94997,9.469076098713524,13.177709686756135,10.543895206450692
37.242272,127.357102,12.5,6.5,70.0,POINT (127.357102 37.242272),304.64426,356.66156,200.94997,9.293279898549464,12.877709686756134,10.330837866335852
37.246888,127.3572,11.8,6.4,71.0,POINT (127.3572 37.246888),304.64426,356.66156,200.94997,8.74192881482073,12.177709686756135,9.734892107725738
37.251504,127.357298,11.8,6.4,71.0,POINT (127.357298 37.251504),306.9826,359.7596,198.58653,8.74192881482073,12.179346609115601,9.735219492197631
37.25612,127.357396,12.2,6.4,70.0,POINT (127.357396 37.25612),306.9826,359.7596,198.58653,9.01380261256393,12.5793466091156,10.045531150617872
37.260737,127.357494,11.9,6.3,70.0,POINT (127.357494 37.260737),306.9826,359.7596,198.58653,8.734325002586392,12.279346609115601,9.759896823633595
37.265353,127.357592,11.6,6.3,70.0,POINT (127.357592 37.265353),306.9826,359.7596,198.58653,8.454847065044113,11.9793466091156,9.474262267354
37.269969,127.35769,11.7,6.3,70.0,POINT (127.35769 37.269969),306.9826,359.7596,198.58653,8.548006414176987,12.0793466091156,9.569473811747011
37.274586,127.357788,11.7,6.3,70.0,POINT (127.357788 37.274586),306.9826,359.7596,198.58653,8.548006414176987,12.0793466091156,9.569473811747011
37.279202,127.357886,12.0,6.3,70.0,POINT (127.357886 37.279202),306.9826,359.7596,198.58653,8.827484242130812,12.3793466091156,9.85510829131469
37.283818,127.357984,12.7,6.4,69.0,POINT (127.357984 37.283818),306.9826,359.7596,198.58653,9.376224745542011,13.0793466091156,10.449226643702527
37.288435,127.358082,12.7,6.4,68.0,POINT (127.358082 37.288435),304.00574,356.27307,201.38078,9.27296278043204,13.077503931522369,10.376574732606901
37.293051,127.35818,12.7,6.4,68.0,POINT (127.35818 37.293051),304.00574,356.27307,201.38078,9.27296278043204,13.077503931522369,10.376574732606901
37.297668,127.358278,12.7,6.4,68.0,POINT (127.358278 37.297668),304.00574,356.27307,201.38078,9.27296278043204,13.077503931522369,10.376574732606901
37.302285,127.358376,12.7,6.4,68.0,POINT (127.358376 37.302285),304.00574,356.27307,201.38078,9.27296278043204,13.077503931522369,10.376574732606901
37.306901,127.358474,12.7,6.3,68.0,POINT (127.358474 37.306901),303.60574,352.5385,205.79808,9.27296278043204,13.075520169734954,10.376177980249418
37.200651,127.361992,12.5,6.7,71.0,POINT (127.361992 37.200651),312.04037,365.38458,194.30965,9.396164960588488,12.882300704717636,10.403775613355469
37.205267,127.36209,12.7,6.7,70.0,POINT (127.36209 37.205267),307.98267,360.00378,200.74037,9.479597910951776,13.079475325345992,10.52161360273544
37.209882,127.362188,12.7,6.7,70.0,POINT (127.362188 37.209882),307.98267,360.00378,200.74037,9.479597910951776,13.079475325345992,10.52161360273544
37.214498,127.362286,12.3,6.6,71.0,POINT (127.362286 37.214498),307.98267,360.00378,200.74037,9.209240521097191,12.679475325345994,10.212363429837232
37.219114,127.362385,12.1,6.6,71.0,POINT (127.362385 37.219114),312.04037,365.38458,194.30965,9.022315943238963,12.482300704717636,10.0220813012108
37.22373,127.362483,12.4,6.6,71.0,POINT (127.362483 37.22373),312.04037,365.38458,194.30965,9.302702758076501,12.782300704717636,10.308352071597078
37.228346,127.362581,12.5,6.6,70.0,POINT (127.362581 37.228346),307.98267,360.00378,200.74037,9.293279898549464,12.879475325345993,10.331190994053824
37.232962,127.362679,12.3,6.6,71.0,POINT (127.362679 37.232962),304.64426,356.66156,200.94997,9.209240521097191,12.677709686756135,10.21201030211926
37.237578,127.362778,11.9,6.4,71.0,POINT (127.362778 37.237578),304.64426,356.66156,200.94997,8.835391226012545,12.277709686756134,9.830315795560008
