년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2015,281,13.5,7.9,19.8
2016,281,13.9,8.5,19.9
2017,281,13.5,7.5,20.2
2018,281,13.3,7.6,19.8
2019,281,14.1,8.3,20.5
2020,281,13.3,7.9,19.3
2021,281,13.3,7.9,19.4
2022,281,13.2,7.5,19.5
2023,281,13.9,8.3,20
2024,281,14.7,9.5,20.5
