category,name,adress,lat,lon
대형마트,와인앤푸드(주),경기도 구리시 동구릉로30번길 27 (인창동),37.6028795390018,127.133988714981
대형마트,주식회사 에이치앤디,"경기도 구리시 장자대로86번길 46, 금호프라자2 3층 306호 (수택동)",37.5867431027679,127.138786947493
대형마트,이쎙트(YCENT),"경기도 구리시 안골로64번길 31, 지하층 (수택동)",37.5969455713215,127.139396534348
대형마트,히즈비즈,"경기도 구리시 건원대로 83, 현산빌딩 5층 21호 (인창동)",37.608280469451,127.138480967822
대형마트,드웰즈,"경기도 구리시 건원대로34번길 27, 세신인창종합상가 지하층 137호 (인창동)",37.6048239320715,127.141579707759
대형마트,닥터랩스,"경기도 구리시 장자대로13번길 9, B1층 (교문동)",37.5882085941037,127.131846502942
대형마트,민티,"경기도 구리시 갈매순환로166번길 46, 2층 02-026호 (갈매동)",37.6355646412893,127.125223654016
대형마트,비클레버,"경기도 구리시 원수택로32번길 69, 1층 101호 (수택동, 무지개아파트)",37.5933540827903,127.143274665353
대형마트,아카시아커피,"경기도 구리시 동구릉로 217-9, 2층 우측호 (인창동)",37.6181358506351,127.138162724462
대형마트,케이맘,경기도 구리시 산마루로 14 (갈매동),37.6314378445289,127.115798948613
대형마트,(주)파머스,"경기도 구리시 동구릉로389번길 46-3, 1층 (사노동)",37.6328299524584,127.139306062861
대형마트,범표원두팩토리,"경기도 구리시 갈매순환로166번길 46, 금강펜테리움 IX타워 지식산업센터동 3층 03-006호 (갈매동)",37.6355646412893,127.125223654016
대형마트,신리홀딩스 주식회사,"경기도 구리시 아치울길3번길 41, 201호 (아천동)",37.5728188729949,127.119347038485
대형마트,원조멸치국수,"경기도 구리시 동구릉로459번길 127, 2층 (사노동)",37.6369930124133,127.13284855034
대형마트,(주)케이디와이아이엔티,"경기도 구리시 건원대로 83, 현산빌딩 5층 7호 (인창동)",37.608280469451,127.138480967822
대형마트,(주)참에프앤디,"경기도 구리시 한다리길23번길 28, 1층 (교문동)",37.5815599438756,127.126285198987
대형마트,애플망고코리아,"경기도 구리시 건원대로 83, 현산빌딩 5층 38-1호 (인창동)",37.608280469451,127.138480967822
대형마트,(주)불스에프앤비,경기도 구리시 동구릉로459번길 146 (사노동),37.6374999975455,127.131883817387
대형마트,보노컴퍼니(BONO Company),"경기도 구리시 안골로 49, 용덕빌딩 7층 701-11호 (교문동)",37.5975100897842,127.136503364226
대형마트,주식회사 비피바이오,"경기도 구리시 건원대로 51, 3115호 (인창동)",37.605514656955,127.139362240881
대형마트,프러스모어,"경기도 구리시 장자대로 72, 미림프라자 3층 (수택동)",37.5872628213618,127.138457645552
대형마트,CHM,"경기도 구리시 갈매중앙로 25, 605동 2004호 (갈매동, 갈매6단지)",37.6273494126549,127.113977370977
대형마트,힐링스타디움,"경기도 구리시 갈매순환로166번길 46, 금강IX타워 지식산업센터동 B1층 043,044호 (갈매동)",37.6355646412893,127.125223654016
대형마트,맑은물 양평아리농원,"경기도 구리시 경춘로276번길 67-40, 104동 603호 (수택동, 남양 아이-좋은집)",37.600288872695,127.14920062307
대형마트,제이푸드시스템,"경기도 구리시 동구릉로 417-11, 1층 (사노동)",37.6341074797515,127.13951735903
대형마트,주식회사 노터스,"경기도 구리시 동구릉로 189, 나동 1층 (인창동)",37.6156710531499,127.137284215052
대형마트,(주)레드신컴퍼니,"경기도 구리시 동구릉로389번길 61, 1층 전체호 (사노동)",37.6327644771567,127.138595156516
대형마트,어쩌다마켓,"경기도 구리시 도매시장로 68, 청과물동 2층 209호 (인창동)",37.6122031932046,127.144860658213
대형마트,리즈 코퍼레이션,"경기도 구리시 안골로20번길 8-28, 1층 좌측호 (교문동)",37.5958857428547,127.132587352515
대형마트,(주)대창콘텍,"경기도 구리시 안골로63번길 14, 2층 203호 (수택동)",37.5980772930898,127.138335002895
대형마트,주식회사 플랫폼바이옴,"경기도 구리시 이문안로113번길 26-10, 2층 201호 (수택동)",37.5927511806115,127.144497409696
대형마트,(주)오과장과 주대리,"경기도 구리시 동구릉로 64, 인창 e-편한세상 101동 203호 (인창동)",37.6056126327816,127.134593951395
대형마트,포식코리아,"경기도 구리시 건원대로 67, 한진빌딩 3층 333호 (인창동)",37.6069412116035,127.138888001402
대형마트,201-3 718호,"경기도 구리시 갈매중앙로 201-3, 718호 (갈매동)",37.6386561248054,127.12646709147
대형마트,(주)닥터헬퍼,"경기도 구리시 경춘북로251번길 71, 1층 (갈매동)",37.6362924296344,127.112364782056
대형마트,주식회사 가드니아,"경기도 구리시 동구릉로460번길 114, 4층 (사노동)",37.6378263774048,127.144463883499
대형마트,제이아이 패밀리(JI Family),"경기도 구리시 경춘로 249, 동원플에이스테이션 4층 403호 (인창동)",37.6020865535864,127.142695181507
대형마트,주식회사 채널스케치,"경기도 구리시 건원대로 67, 한진빌딩 5층 506호 (인창동)",37.6069412116035,127.138888001402
대형마트,맘스에프에스(주),"경기도 구리시 갈매순환로166번길 46, C코어 1층 15호 (갈매동)",37.6355646412893,127.125223654016
대형마트,주식회사 반석산업,"경기도 구리시 갈매순환로166번길 46, 963호 (갈매동)",37.6355646412893,127.125223654016
대형마트,오솔길,"경기도 구리시 장자대로111번길 11, 201동 1301호 (토평동, 한일아파트)",37.587791248112,127.142698456975
대형마트,엠에스에프엔비,"경기도 구리시 건원대로 67, 한진빌딩 308호 (인창동)",37.6069412116035,127.138888001402
대형마트,원앤모어,"경기도 구리시 동구릉로460번길 76, 사무소 및 창고 2층 (사노동)",37.6372770279916,127.142926169002
대형마트,(주)엘마트농산,"경기도 구리시 도매시장로 68, 청과물동 392호 (인창동)",37.6122031932046,127.144860658213
대형마트,케이숲(K-SOUP),"경기도 구리시 체육관로 66, 103동 702호 (수택동, 대림한숲아파트)",37.5908759576396,127.138782506338
대형마트,페어초콜릿,"경기도 구리시 벌말로185번길 17-2, 1층 102호 (수택동)",37.5929275730688,127.14907903642
대형마트,주식회사 더나은,"경기도 구리시 경춘로 39, 3층 (교문동)",37.6007711101377,127.119494612436
대형마트,(주)케이크로 온,"경기도 구리시 경춘북로 252, 804동 602호 (갈매동, 갈매역아이파크)",37.6338125904837,127.118322701737
대형마트,케이푸드통상,"경기도 구리시 갈매순환로166번길 46, 구리갈매 금강펜테리움 IX타워 M-104호 (갈매동)",37.6355646412893,127.125223654016
대형마트,주식회사 큐스타,"경기도 구리시 갈매순환로 188, 5층 0101-0502호 (갈매동)",37.6360592331374,127.12217649671
대형마트,주식회사 본인터내셔널,"경기도 구리시 건원대로 36, 화성골드프라자 902-36호 (인창동)",37.6044311428955,127.140488843483
대형마트,연향,"경기도 구리시 건원대로 67, 한진빌딩 3층 301호 (인창동)",37.6069412116035,127.138888001402
대형마트,제이제이푸드,"경기도 구리시 동구릉로395번길 122, 1층 (사노동)",37.6352545537137,127.136409464467
대형마트,주식회사 미라클팩토리,"경기도 구리시 체육관로 72, 대림한숲 상가동 지하층 26호 (수택동)",37.5909045786152,127.13811723797
대형마트,새로나웰빙,"경기도 구리시 갈매중앙로 190, D동 2035호 (갈매동)",37.6374830218242,127.126570923035
대형마트,연푸드,"경기도 구리시 갈매순환로166번길 45, 구리갈매 아너시티 지하2층 BW203호 (갈매동)",37.6347039369487,127.123335648168
대형마트,실리(sily),"경기도 구리시 벌말로129번길 8-7, 토평동다가구주택 1층 104호 (토평동)",37.5886187437897,127.14809117232
대형마트,홀섬코리아,"경기도 구리시 갈매순환로 154, 10층 A1028호 (갈매동)",37.6330476032473,127.123299942999
대형마트,조앤조,"경기도 구리시 갈매순환로166번길 45, 구리갈매 아너시티 지4층 BH418호 (갈매동)",37.6347039369487,127.123335648168
대형마트,롯데쇼핑(주) 구리점,"경기도 구리시 경춘로 261 (인창동, 롯데쇼핑(주)지하1층)",37.6027360022071,127.143796142875
대형마트,(주)신선지엠,"경기도 구리시 동구릉로85번길 11 (인창동,1층(GM마트))",37.608329185505,127.132380892668
대형마트,(주)푸름(럭키할인마트),경기도 구리시 원수택로 8 (수택동),37.5930063857379,127.139594132997
대형마트,홈마트,"경기도 구리시 안골로77번길 47 (수택동,/24호 지층)",37.5996038382436,127.139485631114
대형마트,청담마트,"경기도 구리시 동구릉로 64 (인창동, e편한(아)상가 지층)",37.6056126327816,127.134593951395
대형마트,미소아이에프비(주)올에이 마트,"경기도 구리시 벌말로 145 (토평동,점프라인 B1)",37.5895221389489,127.148759290389
대형마트,(주)우리들유통,"경기도 구리시 체육관로 73 (교문동, 하나@상가 지하1층)",37.5911436739108,127.137678357873
대형마트,로얄마트,"경기도 구리시 이문안로 31 (교문동, 지층)",37.5923090473201,127.134841738617
대형마트,(유)밀알마트,"경기도 구리시 이문안로 131, 1층 (수택동)",37.591525960409,127.146295250813
대형마트,주식회사 진로마트,"경기도 구리시 검배로 42, 1층 (수택동)",37.5974968663146,127.14362243257
대형마트,(주)고려에프에스갈매점,"경기도 구리시 갈매중앙로 70, 지하1층 (갈매동, 이룸넘버원리치안)",37.6305360744058,127.117141360602
대형마트,햇님할인마트,"경기도 구리시 안골로85번길 29-7, 지층 (수택동)",37.5983885321653,127.139908798569
대형마트,진로 식자재마트,"경기도 구리시 동구릉로 106, 1층 (인창동)",37.6088631386449,127.135610488816
대형마트,(주)청명,경기도 구리시 검배로 70 (수택동),37.5959318952963,127.145859543786
대형마트,(주)엘마트,"경기도 구리시 동구릉로136번길 57, 구리유통종합상가 (인창동)",37.6131388676785,127.140918284674
대형마트,장터유통(주),"경기도 구리시 이문안로99번길 10-6, 수택동 근생 1층 (수택동)",37.592215920271,127.142853762814
대형마트,리팡 토평점,"경기도 구리시 검배로120번길 21-46, 1층 일부호 (토평동)",37.5929338943895,127.151614155537
대형마트,애농마트,"경기도 구리시 동구릉로 417-12, 1,2층 (사노동)",37.6348557407113,127.139599423078
대형마트,다산왕식자재마트,"경기도 구리시 산마루로 300, 가동,나동 (사노동)",37.6292611903091,127.142441250622
대형마트,장터식자재마트,"경기도 구리시 동구릉로 64, 인창 e-편한세상 지층 B115호 (인창동)",37.6056126327816,127.134593951395
대형마트,주식회사 진로마트,"경기도 구리시 검배로 42, 엘마트 1층 (수택동)",37.5974968663146,127.14362243257
대형마트,다산왕식자재,경기도 구리시 산마루로 300 (사노동),37.6292611903091,127.142441250622
문화시설,구리시청소년수련관 공연장,경기도 구리시 건원대로34번길 32-10 (인창동),37.603796,127.141807
문화시설,구리시행정복지센터공연장,"경기도 구리시 체육관로 74, 1층 (수택동)",37.591473,127.138621
문화시설,구리아트홀 유채꽃소극장,"경기도 구리시 아차산로 453 (교문동, 구리아트홀)",37.595563,127.129864
문화시설,구리아트홀 코스모스대극장,"경기도 구리시 아차산로 453 (교문동, 구리아트홀)",37.595563,127.129864
문화시설,롯데시네마 구리아울렛,경기 구리시 동구릉로136번길 47 롯데아울렛 6층 (우)11915,37.6118620717256,127.140545179713
문화시설,CGV 구리,경기 구리시 경춘로 243 2층 (우)11922,37.6017840319678,127.142072217833
문화시설,CGV 구리갈매,경기 구리시 갈매순환로 180 B동 지하1-지하2층 (우)11901,37.6354734013231,127.122708475088
미용실,수택이용원,경기도 구리시 검배로29번길 21 (수택동),37.599624449425,127.143338665763
미용실,약수이용원,경기도 구리시 검배로29번길 44 (수택동),37.6003668541437,127.144235262331
미용실,문화이용원,"경기도 구리시 안골로30번길 10, 1층 (교문동)",37.5967439781111,127.134224566407
미용실,보원탕구내이용원,경기도 구리시 안골로 79 (수택동),37.5975488815645,127.139999627784
미용실,향,"경기도 구리시 건원대로 42 (인창동,삼원상가 201호)",37.6048289049432,127.140358223808
미용실,정민이용원,"경기도 구리시 검배로93번길 7, 1층 (수택동, 풍림주택)",37.5953192225388,127.148603470559
미용실,신행이용원,경기도 구리시 아차산로500번길 41 (교문동),37.5996522244258,127.132924923951
미용실,해원목욕탕이용원,경기도 구리시 이문안로 95 (수택동),37.5920582445419,127.142184053438
미용실,광명이용원,경기도 구리시 아차산로432번길 49 (교문동),37.5938493405499,127.134166488125
미용실,삼보이용원,경기도 구리시 건원대로 56 (인창동),37.6078093914787,127.140497575586
미용실,우성이용원,경기도 구리시 체육관로 59 (교문동),37.5898549463459,127.137634769916
미용실,신천사우나 구내이용원,"경기도 구리시 건원대로 69, 2층 (인창동, 신천사우나내)",37.6071252086285,127.138875206347
미용실,우성이용원,"경기도 구리시 경춘로227번길 6-15 (인창동, 1층)",37.6016925274553,127.140006373025
미용실,호남이용원,경기도 구리시 체육관로171번길 23 (교문동),37.5998766725803,127.134663339126
미용실,서울이용원,경기도 구리시 응달말로 51 (인창동),37.6047083503968,127.134400140462
미용실,종점이용원,"경기도 구리시 검배로60번길 10, 1층 (수택동)",37.5963907206739,127.144728426635
미용실,아리랑이용원,"경기도 구리시 안골로56번길 37, 1층 (수택동)",37.5957159626937,127.138039279748
미용실,워싱턴이용원,경기도 구리시 체육관로161번길 23 (교문동),37.5989151144345,127.134839844414
미용실,수평이용원,경기도 구리시 원수택로32번길 22 (수택동),37.5942402728927,127.140824665273
미용실,남양이용원,경기도 구리시 검배로60번길 29 (수택동),37.595558899704,127.144160985342
미용실,장춘이용원,"경기도 구리시 이문안로99번길 10-22, 1층 좌측호 (수택동)",37.5922439113336,127.143694767844
미용실,동구이용원,경기도 구리시 건원대로99번길 40 (인창동),37.6085088243424,127.137750225799
미용실,명준이용원,경기도 구리시 장자대로37번길 55 (교문동),37.5911505081095,127.134169116191
미용실,희망이용원,경기도 구리시 검배로84번길 37-17 (수택동),37.5935532117726,127.147003402506
미용실,미도이용원,"경기도 구리시 건원대로76번길 29 (인창동,주공1단지지하상가)",37.6083058406419,127.140493979279
미용실,구리시주민편익시설내이용원,경기도 구리시 왕숙천로 49 (토평동),37.5888632453693,127.160053754351
미용실,토평이용원,경기도 구리시 장자대로86번길 46 (수택동),37.5867431027679,127.138786947493
미용실,럭키이용원,경기도 구리시 이문안로 113 (수택동),37.5917317528042,127.143945376162
미용실,서울이용원,경기도 구리시 원수택로 56 (수택동),37.5966591487763,127.141964637715
미용실,상록 이발관,"경기도 구리시 벌말로129번길 92 (토평동,메인프라자 106호)",37.5906503699319,127.14476633724
미용실,쌍떼빌이발,"경기도 구리시 원수택로64번길 9 (수택동,지하2층 쌍떼빌 찜질방 내)",37.597062079805,127.142928477688
미용실,새롬이발소,"경기도 구리시 응달말로52번길 19 (인창동, 102호)",37.6048701249461,127.135540840001
미용실,태후사랑 인창아름마을점,"경기도 구리시 동구릉로85번길 21, 아름마을원일아파트  상가동 2층 (인창동)",37.6085768405033,127.133205479025
미용실,태후사랑,"경기도 구리시 건원대로99번길 138, 지하1층 (인창동)",37.604270567734,127.139441118181
미용실,소망,"경기도 구리시 검배로84번길 11-4, 1층 (수택동)",37.5946196144664,127.147228455162
미용실,새롬,"경기도 구리시 검배로15번길 42, 1층 102호 (수택동)",37.5990589346918,127.144269766714
미용실,오땡큐(수택점),"경기도 구리시 검배로60번길 11-9, 1층 (수택동, 오른쪽 점포)",37.596063765208,127.145230442445
미용실,올멋,"경기도 구리시 동구릉로 73, 1층 2호 (인창동)",37.606673788044,127.134224627166
미용실,행운이용원,"경기도 구리시 체육관로 163-5, 미도오피스텔 1층 101호 (교문동)",37.5992881373364,127.13577168724
미용실,헬로우컷 구리인창점,"경기도 구리시 동구릉로 64, 101층 B113호 (인창동, 인창e-편한세상)",37.6056126327816,127.134593951395
미용실,명동 이용원,"경기도 구리시 수택천로 7, 2층 (수택동)",37.5983073555537,127.144247706191
미용실,매드컬트 바버샵,"경기도 구리시 응달말로 34, 테라팰리스 Ⅱ 나동 101,102호 (인창동, 테라팰리스 Ⅱ)",37.6036633370541,127.135071509521
미용실,엔비어드 바버샵,"경기도 구리시 경춘북로 252, 841동 A202호 (갈매동, 갈매역아이파크)",37.6338125904837,127.118322701737
미용실,풀 갈매이발소,"경기도 구리시 산마루로 19, 진영트윈타워 A동 106호 (갈매동)",37.6317428443126,127.116697009815
미용실,친환경 엘샤론,"경기도 구리시 경춘로 239, 리맥스빌딩 2층 233호 (인창동)",37.6016140068815,127.141629340209
미용실,cutter 커터,"경기도 구리시 이문안로139번길 54-8, 엘리시아 1층 (수택동)",37.5928766657508,127.148365020243
미용실,새송이,"경기도 구리시 경춘로172번길 32, 1층 (교문동)",37.5990838246892,127.13424722769
미용실,까꼬뽀꼬미용실,"경기도 구리시 아차산로487번길 27, 5호 (교문동, 금호상가)",37.5976640041755,127.129689710674
미용실,헤어스케치,"경기도 구리시 체육관로171번길 10, 2층 1호 (교문동)",37.600208985836,127.135347687514
미용실,k&c헤어케어 ,경기도 구리시 검배로71번길 12-2 (수택동),37.596384037897,127.146856217002
미용실,덕현미용실,경기도 구리시 장자대로37번길 55 (교문동),37.5911505081095,127.134169116191
미용실,조아라헤어뉴스,경기도 구리시 체육관로 50 (수택동),37.5890337126408,127.138157258853
미용실,1004헤어클럽,"경기도 구리시 안골로20번길 51, 1층 (교문동)",37.5950508450537,127.133740510428
미용실,불루클럽(인창점),"경기도 구리시 건원대로34번길 27 (인창동,세신종합상가 111호)",37.6048239320715,127.141579707759
미용실,단발머리미용실,"경기도 구리시 체육관로161번길 16 (교문동,1층)",37.5990380327855,127.135370478986
미용실,김도경미장,경기도 구리시 동구릉로 91 (인창동),37.6082622841339,127.134099279009
미용실,현헤어짱,"경기도 구리시 건원대로76번길 29 (인창동,주공1단지상가(2층))",37.6083058406419,127.140493979279
미용실,아름미용실,경기도 구리시 안골로 81-12 (수택동),37.5979706154605,127.140395504113
미용실,머리나라헤어월드,경기도 구리시 안골로103번길 15 (수택동),37.5982450870354,127.14217691483
미용실,김경애헤어월드,경기도 구리시 안골로97번길 29 (수택동),37.5986140481026,127.141196630732
미용실,샴푸보이미용실,경기도 구리시 체육관로 162-32 (수택동),37.5988506373409,127.136690279567
미용실,예쁜미용실,경기도 구리시 안골로63번길 31 (수택동),37.5988176435808,127.138175461067
미용실,김소영헤어클럽,경기도 구리시 안골로63번길 47 (수택동),37.5995778882478,127.138184793817
미용실,장미헤어샵,"경기도 구리시 안골로103번길 53, 2층 (수택동)",37.5997026975049,127.141135613195
미용실,대명미용실,"경기도 구리시 동구릉로16번길 28 (인창동,대명상가 1층)",37.602183389934,127.133152178401
미용실,짱폴미용타운,"경기도 구리시 경춘로 220 (수택동,3층)",37.6003283492169,127.139997361899
