name,address,category,lat,lon
가온숲어린이집,세종특별자치시  다정북로 180 가온마을8단지 관리동,돌봄시설,36.4955050217996,127.250482489197
가온아이사랑어린이집,세종특별자치시  다정중앙로 19 가온마을4단지 관리동,돌봄시설,36.4923276396426,127.248713332762
가온이든어린이집,세종특별자치시  다정남로 22 116동 103호(힐스테이트 세종2차),돌봄시설,36.4929952827929,127.244803276708
가온행복어린이집,세종특별자치시  다정중앙로 20 가온마을7단지 관리동,돌봄시설,36.4925571778608,127.250000451669
개구쟁이어린이집,세종특별자치시  조치원읍 산막길 17 103동 101호,돌봄시설,36.5936060303477,127.295842485525
고운꿈어린이집,세종특별자치시  밝은뜰로 15 관리동 (가락마을 19단지),돌봄시설,36.5249534048372,127.231705672356
고운별어린이집,세종특별자치시  마음로 64 고운동 남측 복합커뮤니티센터,돌봄시설,36.5049740605534,127.235364128354
고운솔어린이집,세종특별자치시  마음로 152 가락마을11단지 관리동,돌봄시설,36.512286479599,127.230984922451
고운숲어린이집,세종특별자치시  마음로 182 1304동 102호,돌봄시설,36.5145608513135,127.230265581995
고운아이어린이집,세종특별자치시  만남로 92 809동 103호,돌봄시설,36.5056980185585,127.240753284994
국제어린이집,세종특별자치시  부강3길 29-8,돌봄시설,36.5296330496463,127.364566848929
굿모닝세종어린이집,세종특별자치시  보람서로 23,돌봄시설,36.4731949931042,127.283270152732
그린나래어린이집,세종특별자치시  소담3로 21 새샘마을 4단지 관리동,돌봄시설,36.4865948937413,127.297111956133
근로복지공단세종어린이집,세종특별자치시 조치원읍 새내2길 41,돌봄시설,36.597230943879,127.301065908035
금남어린이집,세종특별자치시 금남면 호탄리 97-3,돌봄시설,36.4753374801365,127.297571212396
꼬마성어린이집,세종특별자치시  조치원읍 도원로 16 117동 101호(자이아파트),돌봄시설,36.5911922896369,127.291135680237
꼬마세상어린이집,세종특별자치시  조치원읍 이화1로 15 관리동,돌봄시설,36.5934739987856,127.285050287239
꼬마숲어린이집,"세종특별자치시  누리로 27 611-102(한솔동, 첫마을아파트)",돌봄시설,,
꿀벌어린이집,세종특별자치시  달빛1로 201 범지기마을3단지아파트 311동 102호,돌봄시설,36.5185460443519,127.244078333932
꿈나무영재어린이집,세종특별자치시 조치원읍 세종로 2569,돌봄시설,36.6154606648658,127.292287274635
꿈별어린이집,세종특별자치시  마음안로 190 가락마을 15단지 관리동 어린이집,돌봄시설,36.5157578036765,127.237190062644
꿈샘어린이집,세종특별자치시  밀마루길 6,돌봄시설,36.5037418216122,127.257483130965
꿈씨앗어린이집,세종특별자치시  남세종로 301 510동 101호(소담동 새샘마을5단지),돌봄시설,36.4813310703209,127.304435103267
꿈에그린어린이집,세종특별자치시  국책연구원1로 15 새샘마을9단지 중흥리버뷰 908동 201호,돌봄시설,36.49101863889,127.299898214554
나라연어린이집,"세종특별자치시  마음안로 221 관리동 (고운동, 가락마을21단지)",돌봄시설,36.51846858104,127.239840178754
나릿재참다운어린이집,세종특별자치시  나성북1로 23 나릿재마을5단지 관리동,돌봄시설,36.4927814962446,127.257449302265
나무야어린이집,세종특별자치시  반곡로 14 수루배마을1단지 관리동,돌봄시설,36.4971084211225,127.305598809854
나성샛별어린이집,세종특별자치시  나성북1로 51 나릿재마을6단지 관리동,돌봄시설,36.4923112410356,127.260577313847
나성어린이집,세종특별자치시  노을3로 60,돌봄시설,36.4796777054109,127.257057679208
나성해빛어린이집,세종특별자치시  갈매로 280 나성동복합커뮤니티센터 1층,돌봄시설,36.4890715911655,127.264260830304
나숲어린이집,세종특별자치시  밝은뜰로 15 1906동 103호,돌봄시설,36.5249534048372,127.231705672356
누리뜰어린이집,세종특별자치시  시청대로 370,돌봄시설,36.495796984508,127.304465262475
누리봄어린이집,세종특별자치시  시청대로 236 새샘마을3단지 316동 102호,돌봄시설,36.4850639476117,127.296048734716
늘기쁨어린이집,"세종특별자치시  도움1로 105 508-101(종촌동,가재마을)",돌봄시설,,
늘품어린이집,세종특별자치시  남세종로 357 새샘마을1단지 관리동,돌봄시설,36.48032904339,127.298813876938
다닐어린이집,세종특별자치시  달빛1로 74 가재마을6단지 관리동,돌봄시설,36.5063519229739,127.245734657661
다올어린이집,"세종특별자치시  마음안1로 167 1702동 102호(고운동, 가락마을17단지)",돌봄시설,36.5184516322314,127.237320646385
다원어린이집,세종특별자치시  다정북로 183 가온마을9단지 관리동,돌봄시설,36.4961445575241,127.251389390345
다정하나어린이집,세종특별자치시  다정남3로 10 다정동 복합커뮤니티센터,돌봄시설,36.4945163618725,127.250397160417
다정한어린이집,세종특별자치시  다정북로 109 324동 102호,돌봄시설,36.4965569936987,127.242297055683
다정힐스어린이집,세종특별자치시  다정남로 22 가온마을1단지 관리동,돌봄시설,36.4929952827929,127.244803276708
