name,category,x,y,address,place_url
경산식당,음식점,128.7965898,35.98995015,경북 영천시 청통면 은해사로 208-29,http://place.map.kakao.com/10178398
신녕만남휴게소,음식점,128.7927313,36.03773976,경북 영천시 신녕면 완전공단길 2,http://place.map.kakao.com/488835579
신풍숯불돼지갈비,음식점,128.7889176,36.03982599,경북 영천시 신녕면 완전3길 9,http://place.map.kakao.com/1642830463
한성식당,음식점,128.7882544,36.04013505,경북 영천시 신녕면 장수로 1663,http://place.map.kakao.com/16230269
신아랑정반점,음식점,128.7884479,36.04358875,경북 영천시 신녕면 화성중앙길 11,http://place.map.kakao.com/12521835
깟방못대나무집,음식점,128.8030292,35.98627706,경북 영천시 청통면 대동로 362,http://place.map.kakao.com/37237133
토방청,음식점,128.8001713,35.99219874,경북 영천시 청통면 은해사로 186,http://place.map.kakao.com/24529687
국수가,음식점,128.7883007,36.04149591,경북 영천시 신녕면 장수로 1678,http://place.map.kakao.com/254309612
순남이국수,음식점,128.7874167,36.04332209,경북 영천시 신녕면 장수로 1699,http://place.map.kakao.com/334617698
또래분식,음식점,128.7881358,36.04234629,경북 영천시 신녕면 장수로 1686-1,http://place.map.kakao.com/8940761
5초실내포차,음식점,128.7883478,36.04313429,경북 영천시 신녕면 화성중앙길 8,http://place.map.kakao.com/1444296928
숙이네,음식점,128.7882969,36.04211051,경북 영천시 신녕면 장수로 1684-1,http://place.map.kakao.com/2021031545
가을의전설,음식점,128.8064916,35.99161712,경북 영천시 청통면 치일들길 133-15,http://place.map.kakao.com/8124268
소라식당,음식점,128.807885,35.99398222,경북 영천시 청통면 은해사로 112,http://place.map.kakao.com/13012834
어부지리,음식점,128.8100685,35.99438181,경북 영천시 청통면 은해사로 92,http://place.map.kakao.com/1904878655
현다향,음식점,128.8058124,36.01604879,경북 영천시 청통면 금송로 1304,http://place.map.kakao.com/149050725
또봉이통닭 경북영천청통점,음식점,128.8097973,35.99420568,경북 영천시 청통면 은해사로 94,http://place.map.kakao.com/27207271
대가대청통수련원 식당,음식점,128.8065813,35.99088408,경북 영천시 청통면 치일들길 133-17,http://place.map.kakao.com/15625239
궁전식당,음식점,128.8186742,35.97418965,경북 영천시 청통면 관방길 50,http://place.map.kakao.com/16526214
고향반점왕짜장,음식점,128.8201515,35.99429768,경북 영천시 청통면 금송로 1011,http://place.map.kakao.com/8193274
양마니명동찌개마을,음식점,128.8213831,35.99153606,경북 영천시 청통면 부흥길 22-6,http://place.map.kakao.com/2029502940
시골밥상,음식점,128.8183513,35.99601274,경북 영천시 청통면 애련길 2,http://place.map.kakao.com/1063872180
팔공숯불가든,음식점,128.818602,35.99606481,경북 영천시 청통면 은해사로 14,http://place.map.kakao.com/10882914
닭마을,음식점,128.8201615,35.99415336,경북 영천시 청통면 금송로 1011,http://place.map.kakao.com/17148924
런던피자&바베큐,음식점,128.8183358,35.99601027,경북 영천시 청통면 애련길 2,http://place.map.kakao.com/1064029530
정코다리 영천은해사점,음식점,128.8203936,35.99643411,경북 영천시 청통면 금송로 1038,http://place.map.kakao.com/283442863
엄마보리밥,음식점,128.8195373,35.99589203,경북 영천시 청통면 은해사로 6,http://place.map.kakao.com/654857560
