구분,업종명,업소명,영업소 주소(도로명),데이터기준일
317,네일미용업,네일하트,"경상북도 영천시 망정1길 171, 205호 (야사동, 한신 더휴 퍼스트상가 )",2025-05-12
318,네일미용업,네일모레,경상북도 영천시 장수로 2 (교촌동),2025-05-12
319,네일미용업,네일맑음,"경상북도 영천시 호국로 23, 영진궁전빌라 105동 (문외동)",2025-05-12
320,네일미용업,네일하우스 입구,경상북도 영천시 모란1길 4-1 (야사동),2025-05-12
321,네일미용업,달콤네일,"경상북도 영천시 완산3길 22, 1층 (완산동)",2025-05-12
322,네일미용업,"예쁘다,네일","경상북도 영천시 강남길 49, 1층 (완산동)",2025-05-12
323,네일미용업,시은뷰티,"경상북도 영천시 야사시장길 43, 1동 107호 (야사동)",2025-05-12
324,네일미용업,미르네일,경상북도 영천시 호국로 76-1 (야사동),2025-05-12
325,네일미용업,미애가하는 뷰티샵,경상북도 영천시 완산중앙7길 12 (완산동),2025-05-12
326,네일미용업,뷰티온(BEAUTYON),"경상북도 영천시 완산5길 25, 상가동 101호 (완산동, 완산미소지움)",2025-05-12
327,네일미용업,"바를, 네일",경상북도 영천시 야사시장길 6 (야사동),2025-05-12
328,네일미용업,제이샵 Nail,"경상북도 영천시 상록5길 3, 1층 전면좌측호 (야사동)",2025-05-12
329,네일미용업,쏨네일,경상북도 영천시 청산길 36 (문외동),2025-05-12
330,네일미용업,윤네일,경상북도 영천시 약전길 18 (완산동),2025-05-12
331,네일미용업,끌레느 뷰티,"경상북도 영천시 호국로 120, 대영빌딩 1층 101(전면좌측)호 (망정동)",2025-05-12
332,네일미용업,네일 래피(Nail Lappy),경상북도 영천시 삼산길 34 (문외동),2025-05-12
333,네일미용업,하이비뷰티&풋,"경상북도 영천시 언하공단로 83, 106호 (망정동)",2025-05-12
334,네일미용업,아보하뷰티스튜디오,"경상북도 영천시 중앙동1길 102-9, 대동다숲아파트 상가 112동 104호 (문내동)",2025-05-12
335,네일미용업,네일 더 끌림,"경상북도 영천시 망정로 30, 1층 (망정동)",2025-05-12
336,"일반미용업, 피부미용업",올데이(all day),"경상북도 영천시 동부로 43, 2층 (야사동)",2025-05-12
337,"일반미용업, 네일미용업",손톱공주,경상북도 영천시 호국로 38 (야사동),2025-05-12
338,"피부미용업, 네일미용업",네일더예쁨,경상북도 영천시 창신길 140-11 (망정동),2025-05-12
339,"피부미용업, 네일미용업",동그라미네일,경상북도 영천시 호국로 54-1 (야사동),2025-05-12
340,"피부미용업, 네일미용업",리브네일,"경상북도 영천시 호국로 23, 영진궁전빌라 105동 106호 (문외동)",2025-05-12
341,"피부미용업, 네일미용업",도담뷰티,"경상북도 영천시 동부로 61, 2층 (야사동)",2025-05-12
342,화장ㆍ분장 미용업,마주뷰티,경상북도 영천시 중앙동1길 8 (문외동),2025-05-12
343,화장ㆍ분장 미용업,시언토탈뷰티샵,"경상북도 영천시 중앙동3길 50, 2층 (문내동)",2025-05-12
344,화장ㆍ분장 미용업,현정이네,경상북도 영천시 언하공단로 84 (망정동),2025-05-12
345,화장ㆍ분장 미용업,아이코코뷰티,"경상북도 영천시 시장로 120, 완산골드타워 112호 (완산동)",2025-05-12
346,화장ㆍ분장 미용업,이쁘다SD,"경상북도 영천시 완산로 68, 건물 내 우측 1층 (완산동)",2025-05-12
347,"일반미용업, 화장ㆍ분장 미용업",리프(leaf),경상북도 영천시 충효로 112-1 (야사동),2025-05-12
348,"일반미용업, 피부미용업, 화장ㆍ분장 미용업",다온,"경상북도 영천시 창신1길 5-5 (망정동, 창신상가 202-2)",2025-05-12
349,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",리안헤어,"경상북도 영천시 금호읍 교대길 30, 2층",2025-05-12
350,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",지민헤어,"경상북도 영천시 호국로 23, 영진궁전빌라 (문외동)",2025-05-12
351,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",묭실,경상북도 영천시 완산로 13 (완산동),2025-05-12
