상호,소재지도로명주소,소재지지번주소,위도,경도
영에어로빅,경상북도 영천시 완산중앙3길 20-1  (완산동),경상북도 영천시 완산동 905-8 ,35.9621061,128.937496
한국에어로빅교육관,경상북도 영천시 시장3길 10-5  (완산동),경상북도 영천시 완산동 988-26 ,35.965083,128.9383073
김명희 댄스스쿨,경상북도 영천시 호국로 10 (문외동),경상북도 영천시 문외동 41-4 ,35.97114737,128.939621
7080당구클럽,경상북도 영천시 역전로 46-1 (완산동),경상북도 영천시 완산동 930-21 ,35.96061495,128.9380105
금창당구장,경상북도 영천시 금호읍 금창로 4,경상북도 영천시 금호읍 교대리 160-17 ,35.93159971,128.8752201
우림당구장,경상북도 영천시 신녕면 본관시장길 14-45,경상북도 영천시 신녕면 화성리 956-4 ,36.04173158,128.7877816
영천당구장,경상북도 영천시 시청남길 20 (문외동),경상북도 영천시 문외동 40-14 (3층) ,35.97218645,128.9392896
중앙당구장,"경상북도 영천시 시청남1길 12-4 (문외동,(3층))",경상북도 영천시 문외동 40-24 (3층) ,35.9716277,128.939283
동부당구장,경상북도 영천시 상록2길 54 (야사동),경상북도 영천시 야사동 334 ,35.97516699,128.9419307
세븐당구장,경상북도 영천시 언하공단로 83 (망정동),경상북도 영천시 망정동 410-8 ,35.98590958,128.9545453
힐링당구장,경상북도 영천시 금호읍 금호로 73,경상북도 영천시 금호읍 덕성리 114 ,35.93080126,128.869759
녹스당구장,경상북도 영천시 강남길 19 (완산동),경상북도 영천시 완산동 1062-1 ,35.9644825,128.9355729
영재 당구장,"경상북도 영천시 충효로 59, 2층 (문외동)",경상북도 영천시 문외동 250-9 ,35.97270952,128.9357921
정상당구장,"경상북도 영천시 시청로 9, 5층 (문외동)",경상북도 영천시 문외동 38-6 ,35.97165476,128.9381302
매니아당구장,경상북도 영천시 동부로 35 (야사동),경상북도 영천시 야사동 192-12 ,35.97338623,128.9483071
김프로당구클럽,"경상북도 영천시 청산길 지하 29 (문외동, 무지개타운)",경상북도 영천시 문외동 200 ,35.97393905,128.9353077
황토당구장,"경상북도 영천시 창신2길 39, 3층 (망정동)",경상북도 영천시 망정동 409-27 ,35.98978682,128.9565883
고고 당구장,"경상북도 영천시 창신1길 21 (망정동, 창신타운)",경상북도 영천시 망정동 471 ,35.98735414,128.9553612
유수당구클럽,경상북도 영천시 금호읍 금호로 132-1,경상북도 영천시 금호읍 냉천리 722-3 ,35.93188147,128.876132
그린 당구장,"경상북도 영천시 동부로 25, 2층 (야사동)",경상북도 영천시 야사동 220-2 ,35.97226769,128.9484268
초원당구장,경상북도 영천시 시청남1길 17 (문외동),경상북도 영천시 문외동 40-2 ,35.97180302,128.9387639
윤성당구장,"경상북도 영천시 금호읍 원제2길 13, 2층",경상북도 영천시 금호읍 원제리 514-2 ,35.94224014,128.898879
고은당구클럽,"경상북도 영천시 시장로 96, 고은스퀘어 2층 (완산동)",경상북도 영천시 완산동 1402 고은스퀘어 ,35.96300897,128.9407439
국제 댄스 스포츠,경상북도 영천시 호국로 13 (문외동),경상북도 영천시 문외동 40-33 ,35.97161504,128.9397485
은박지 리듬댄스 학원,"경상북도 영천시 호국로 14-3, 지하1층 (야사동)",경상북도 영천시 야사동 283-8 ,35.97136911,128.9400782
영천 무도학원,경상북도 영천시 호국로 22-1 (야사동),경상북도 영천시 야사동 288-20 ,35.97166128,128.9407469
영천시운주산승마조련센터,경상북도 영천시 임고면 승마휴양림길 62-29,경상북도 영천시 임고면 효리 109-3 ,36.03223249,128.9990782
휘명승마아카데미,경상북도 영천시 신녕면 신화로 118 (휘명승마아카데미),경상북도 영천시 신녕면 연정리 953 ,36.0455436,128.8000719
성운대학교 재활승마장,"경상북도 영천시 신녕면 대학길 105, 성운대학교",경상북도 영천시 신녕면 화남리 1135-5 성운대학교 ,36.06420908,128.7614088
종합스포츠센터,"경상북도 영천시 운동장로 94, 영천시종합스포츠센터 (교촌동)",경상북도 영천시 교촌동 336-1 영천시종합스포츠센터 ,35.97119228,128.9234116
휴베이스볼파크랜드,경상북도 영천시 금호읍 대구대길 566-35,경상북도 영천시 금호읍 신대리 383-5 ,35.92088956,128.8581487
우주최강야구장,경상북도 영천시 청통면 청통로 503,경상북도 영천시 청통면 보성리 635-1 청통면 보성리 산 174-1 ,35.99220127,128.8401566
롯데스크린골프,"경상북도 영천시 시장로 96, 고은스퀘어 2층 2015호 (완산동)",경상북도 영천시 완산동 1402 고은스퀘어 ,35.96300897,128.9407439
골프존파크 완산건행스크린점,"경상북도 영천시 약전길 165, 2층 (완산동)",경상북도 영천시 완산동 745 ,35.96238416,128.9479758
우리들스크린골프장,경상북도 영천시 금호읍 금호로 428,경상북도 영천시 금호읍 신월리 38-10 (주)우흥 ,35.9444442,128.9054101
제이에프 줄넘기,"경상북도 영천시 창신1길 25, 2층 201호 (망정동)",경상북도 영천시 망정동 471-7 ,35.98831789,128.9543082
점프윙스줄넘기클럽,"경상북도 영천시 조양길 120, 2층 (문내동)",경상북도 영천시 문내동 229-3 ,35.97310736,128.93216
인사이드스포츠,"경상북도 영천시 시장로 128, 드림스퀘어 3층 (완산동)",경상북도 영천시 완산동 1413 ,35.96354751,128.9444643
메이저아카데미,"경상북도 영천시 시장2길 35, 지하1층 (완산동)",경상북도 영천시 완산동 988-55 ,35.96512028,128.9369995
점프스타 줄넘기 클럽,"경상북도 영천시 망정2길 183, 3층 (망정동)",경상북도 영천시 망정동 330 ,35.98157569,128.95212
