id,name,category,x,y,address,place_url
1642396147,보배식당,음식점,128.787245857537,36.04371570853,경북 영천시 신녕면 장수로 1703-2,http://place.map.kakao.com/1642396147
1643202896,새벽시장,음식점,128.787492856849,36.0437949256736,경북 영천시 신녕면 장수로 1704,http://place.map.kakao.com/1643202896
285386819,정가네감자탕해장국,음식점,128.790169694591,36.0353450911132,경북 영천시 신녕면 장수로 1607,http://place.map.kakao.com/285386819
1786754934,모티선지해장국,음식점,128.789469761454,36.0360854262714,경북 영천시 신녕면 장수로 1617,http://place.map.kakao.com/1786754934
959358253,전국수산 1호점,음식점,128.78946976145394,36.03608542627136,경북 영천시 신녕면 장수로 1617,http://place.map.kakao.com/959358253
355382870,짬뽕전문점,음식점,128.789765496281,36.0359170124021,경북 영천시 신녕면 장수로 1611,http://place.map.kakao.com/355382870
505057347,보배식당,음식점,128.7911777983219,36.034496522042666,경북 영천시 신녕면 장수로 1589,http://place.map.kakao.com/505057347
1300618080,가마솥염소탕,음식점,128.790184091788,36.0353439749829,경북 영천시 신녕면 장수로 1607,http://place.map.kakao.com/1300618080
407223889,민이네인생짬뽕,음식점,128.79029203159348,36.03526036359805,경북 영천시 신녕면 장수로 1607,http://place.map.kakao.com/407223889
1830763742,강희네식당,음식점,128.790183003145,36.0353448923635,경북 영천시 신녕면 장수로 1607,http://place.map.kakao.com/1830763742
2126537219,달콤한 밥상,음식점,128.790183003145,36.0353448923635,경북 영천시 신녕면 장수로 1607,http://place.map.kakao.com/2126537219
14676477,한들가든,음식점,128.791149059319,36.0350889687672,경북 영천시 신녕면 장수로 1600,http://place.map.kakao.com/14676477
18768616,은해향,음식점,128.79634677931,35.9897942928121,,http://place.map.kakao.com/18768616
26984161,팔공산식당,음식점,128.79648673346685,35.990294107575345,경북 영천시 청통면 은해사로 208-28,http://place.map.kakao.com/26984161
1185410317,명가정,음식점,128.79723220694706,35.990017115152575,경북 영천시 청통면 은해사로 208-21,http://place.map.kakao.com/1185410317
18057395,안동식당,음식점,128.796480850171,35.9898391416936,,http://place.map.kakao.com/18057395
360667334,진미원,음식점,128.7970788993419,35.990004093760994,경북 영천시 청통면 은해사로 208-23,http://place.map.kakao.com/360667334
17864170,은해사미정식당,음식점,128.79768835056953,35.99008506989232,경북 영천시 청통면 은해사로 208-15,http://place.map.kakao.com/17864170
987198293,은혜사육해공식당,음식점,128.7975408710031,35.990084577094024,경북 영천시 청통면 은해사로 208-17,http://place.map.kakao.com/987198293
25768833,영천식당,음식점,128.79623744836513,35.99025368762439,,http://place.map.kakao.com/25768833
20089817,솔밭식당,음식점,128.79684343257662,35.990328412282864,경북 영천시 청통면 은해사로 208-24,http://place.map.kakao.com/20089817
24119130,대구식당,음식점,128.79734044591405,35.99038944832569,경북 영천시 청통면 은해사로 208-20,http://place.map.kakao.com/24119130
24119112,두꺼비식당,음식점,128.7970070025923,35.99035389555836,,http://place.map.kakao.com/24119112
12178708,성림식당,음식점,128.79743245994774,35.99043762967389,경북 영천시 청통면 은해사로 208-18,http://place.map.kakao.com/12178708
635442401,와촌골,음식점,128.798879170989,35.9848111156823,경북 영천시 청통면 대동로 315-10,http://place.map.kakao.com/635442401
10178398,경산식당,음식점,128.79658981087064,35.98995014662559,경북 영천시 청통면 은해사로 208-29,http://place.map.kakao.com/10178398
488835579,신녕만남휴게소,음식점,128.79273127419108,36.03773975583254,경북 영천시 신녕면 완전공단길 2,http://place.map.kakao.com/488835579
1642830463,신풍숯불돼지갈비,음식점,128.788917571582,36.0398259900118,경북 영천시 신녕면 완전3길 9,http://place.map.kakao.com/1642830463
16230269,한성식당,음식점,128.788254433025,36.0401350473886,경북 영천시 신녕면 장수로 1663,http://place.map.kakao.com/16230269
