순번,관리번호,설치장소명,유형,전체높이(m),펼침지름(m),설치일자,도로명주소,지번주소,위도,경도,관리기관명
181,다정동-23,다정중학교 앞,그늘막(스마트형),3,4,2022-06-14, ,세종특별자치시 세종시 다정동 332-3 ,36.4936333,127.2454668,다정동
182,다정동-24,다정초등학교 앞,그늘막(스마트형),3,4,2022-06-14, ,세종특별자치시 세종시 다정동 340 ,36.4934867,127.2449167,다정동
183,다정동-35,가온마을4단지 정문 좌측,그늘막(스마트형),3,5.4,2023-08-03,"세종특별자치시 세종시 다정중앙로 19   (다정동, 가온마을4단지)",세종특별자치시 세종시 다정동 964 ,36.4922,127.2494,다정동
184,다정동-36,가온마을7단지 정문 우측  미트킹 앞,그늘막(스마트형),3,5.4,2023-08-03,"세종특별자치시 세종시 다정중앙로 20   (다정동, 가온마을7단지)",세종특별자치시 세종시 다정동 965 ,36.4922,127.2495,다정동
185,다정동-37,912동 (상가 앞),그늘막(스마트형),3,5.4,2024-04-23,"세종특별자치시 세종시 다정북로 183   (다정동, 가온마을9단지)",세종특별자치시 세종시 다정동 920 ,36.4959,127.2507,다정동
186,다정동-38,901동(다원어린이집 앞),그늘막(스마트형),3,5.4,2024-04-23,"세종특별자치시 세종시 다정북로 183   (다정동, 가온마을9단지)",세종특별자치시 세종시 다정동 920 ,36.4959,127.2511,다정동
187,다정동-39,808동 앞,그늘막(스마트형),3,5.4,2024-04-23,"세종특별자치시 세종시 다정북로 180   (다정동, 가온마을8단지)",세종특별자치시 세종시 다정동 931 ,36.4957,127.2511,다정동
188,다정동-40,807동(달님뜰근린공원 앞 횡단보도),그늘막(스마트형),3,5.4,2024-04-23,"세종특별자치시 세종시 다정북로 180   (다정동, 가온마을8단지)",세종특별자치시 세종시 다정동 931 ,36.4956,127.2519,다정동
189,다정동-41,901동(품안뜰근린공원 앞 횡단보도),그늘막(스마트형),3,5.4,2024-04-23,"세종특별자치시 세종시 다정북로 183   (다정동, 가온마을9단지)",세종특별자치시 세종시 다정동 920 ,36.4958,127.252,다정동
190,다정동-46,가온마을3단지 315동 인근 횡단보도,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 다정동 977 ,36.4992594,127.244795,다정동
191,다정동-47,가온마을6단지 607동 인근 황단보도,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 다정동 977 ,36.4992508,127.245082,다정동
192,다정동-48,가온마을6단지 603동 인근 황단보도,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 다정동 981 ,36.4989899,127.2489792,다정동
193,다정동-49,가온마을9단지 906동 인근 횡단보도,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 다정동 981 ,36.4989726,127.2493654,다정동
194,다정동-50,가온마을4단지 403동 인근 횡단보도,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 다정동 981 ,36.4935864,127.248888,다정동
195,다정동-53,가온마을6단지 610동 인근 횡단보도,그늘막(스마트형),3,5.4,2024-12-04,,세종특별자치시 다정동 977      ,,,다정동
196,다정동-54,가온마을3단지 323동 인근 횡단보도,그늘막(스마트형),3,5.4,2024-12-04,,세종특별자치시 다정동 977      ,,,다정동
