x,y,avg_height
966750.0,1823250.0,
966750.0,1823750.0,
966750.0,1824250.0,
966750.0,1824750.0,
966750.0,1825250.0,
966750.0,1825750.0,
966750.0,1826250.0,
966750.0,1826750.0,
966750.0,1827250.0,
966750.0,1827750.0,
966750.0,1828250.0,
966750.0,1828750.0,
966750.0,1829250.0,
966750.0,1829750.0,
966750.0,1830250.0,
966750.0,1830750.0,
966750.0,1831250.0,
966750.0,1831750.0,
966750.0,1832250.0,
966750.0,1832750.0,
966750.0,1833250.0,
966750.0,1833750.0,
966750.0,1834250.0,
966750.0,1834750.0,
966750.0,1835250.0,
966750.0,1835750.0,
966750.0,1836250.0,
966750.0,1836750.0,
966750.0,1837250.0,
966750.0,1837750.0,
966750.0,1838250.0,
966750.0,1838750.0,
966750.0,1839250.0,
966750.0,1839750.0,
966750.0,1840250.0,
966750.0,1840750.0,
966750.0,1841250.0,
966750.0,1841750.0,
966750.0,1842250.0,
966750.0,1842750.0,
966750.0,1843250.0,
966750.0,1843750.0,
966750.0,1844250.0,
966750.0,1844750.0,
966750.0,1845250.0,
966750.0,1845750.0,
966750.0,1846250.0,
966750.0,1846750.0,
966750.0,1847250.0,
966750.0,1847750.0,
966750.0,1848250.0,
966750.0,1848750.0,
966750.0,1849250.0,
966750.0,1849750.0,
966750.0,1850250.0,
966750.0,1850750.0,
966750.0,1851250.0,
966750.0,1851750.0,
966750.0,1852250.0,
966750.0,1852750.0,
966750.0,1853250.0,
966750.0,1853750.0,
966750.0,1854250.0,
966750.0,1854750.0,
966750.0,1855250.0,
966750.0,1855750.0,
966750.0,1856250.0,
966750.0,1856750.0,5.9
966750.0,1857250.0,5.9
966750.0,1857750.0,5.9
966750.0,1858250.0,
966750.0,1858750.0,
966750.0,1859250.0,
966750.0,1859750.0,
967250.0,1823250.0,
967250.0,1823750.0,
967250.0,1824250.0,
967250.0,1824750.0,
967250.0,1825250.0,
967250.0,1825750.0,
967250.0,1826250.0,
967250.0,1826750.0,
967250.0,1827250.0,
967250.0,1827750.0,
967250.0,1828250.0,
967250.0,1828750.0,
967250.0,1829250.0,
967250.0,1829750.0,
967250.0,1830250.0,
967250.0,1830750.0,
967250.0,1831250.0,
967250.0,1831750.0,
967250.0,1832250.0,
967250.0,1832750.0,
967250.0,1833250.0,
967250.0,1833750.0,
967250.0,1834250.0,
967250.0,1834750.0,
967250.0,1835250.0,
967250.0,1835750.0,
967250.0,1836250.0,
967250.0,1836750.0,
967250.0,1837250.0,
967250.0,1837750.0,
967250.0,1838250.0,
967250.0,1838750.0,
967250.0,1839250.0,
967250.0,1839750.0,
967250.0,1840250.0,
967250.0,1840750.0,
967250.0,1841250.0,
967250.0,1841750.0,
967250.0,1842250.0,
967250.0,1842750.0,
967250.0,1843250.0,
967250.0,1843750.0,
967250.0,1844250.0,
967250.0,1844750.0,
967250.0,1845250.0,
967250.0,1845750.0,
967250.0,1846250.0,
967250.0,1846750.0,
967250.0,1847250.0,
967250.0,1847750.0,
967250.0,1848250.0,
967250.0,1848750.0,
967250.0,1849250.0,
967250.0,1849750.0,
967250.0,1850250.0,
967250.0,1850750.0,
967250.0,1851250.0,
967250.0,1851750.0,
967250.0,1852250.0,
967250.0,1852750.0,
967250.0,1853250.0,
967250.0,1853750.0,
967250.0,1854250.0,
967250.0,1854750.0,
967250.0,1855250.0,
967250.0,1855750.0,
967250.0,1856250.0,4.0
967250.0,1856750.0,5.646666666666667
967250.0,1857250.0,5.5600000000000005
967250.0,1857750.0,6.080000000000001
967250.0,1858250.0,5.3
967250.0,1858750.0,
967250.0,1859250.0,
967250.0,1859750.0,
967750.0,1823250.0,
967750.0,1823750.0,
967750.0,1824250.0,
967750.0,1824750.0,
967750.0,1825250.0,
967750.0,1825750.0,
967750.0,1826250.0,
967750.0,1826750.0,
967750.0,1827250.0,
967750.0,1827750.0,
967750.0,1828250.0,
967750.0,1828750.0,
967750.0,1829250.0,
967750.0,1829750.0,
967750.0,1830250.0,
967750.0,1830750.0,
967750.0,1831250.0,
967750.0,1831750.0,
967750.0,1832250.0,
967750.0,1832750.0,
967750.0,1833250.0,
967750.0,1833750.0,
967750.0,1834250.0,
967750.0,1834750.0,
967750.0,1835250.0,
967750.0,1835750.0,
967750.0,1836250.0,
967750.0,1836750.0,
967750.0,1837250.0,
967750.0,1837750.0,
967750.0,1838250.0,
967750.0,1838750.0,
967750.0,1839250.0,
967750.0,1839750.0,
967750.0,1840250.0,
967750.0,1840750.0,
967750.0,1841250.0,
967750.0,1841750.0,
967750.0,1842250.0,
967750.0,1842750.0,
967750.0,1843250.0,
967750.0,1843750.0,
967750.0,1844250.0,
967750.0,1844750.0,
967750.0,1845250.0,
967750.0,1845750.0,
967750.0,1846250.0,
967750.0,1846750.0,
967750.0,1847250.0,
967750.0,1847750.0,
967750.0,1848250.0,
967750.0,1848750.0,
967750.0,1849250.0,
967750.0,1849750.0,
967750.0,1850250.0,
967750.0,1850750.0,
967750.0,1851250.0,
967750.0,1851750.0,
967750.0,1852250.0,
967750.0,1852750.0,
967750.0,1853250.0,
967750.0,1853750.0,
967750.0,1854250.0,
967750.0,1854750.0,
967750.0,1855250.0,4.5
967750.0,1855750.0,5.01
967750.0,1856250.0,4.97
967750.0,1856750.0,5.75
967750.0,1857250.0,5.7
967750.0,1857750.0,6.008
967750.0,1858250.0,5.46
967750.0,1858750.0,
967750.0,1859250.0,
967750.0,1859750.0,
968250.0,1823250.0,
968250.0,1823750.0,
968250.0,1824250.0,
968250.0,1824750.0,
968250.0,1825250.0,
968250.0,1825750.0,
968250.0,1826250.0,
968250.0,1826750.0,
968250.0,1827250.0,
968250.0,1827750.0,
