x,y,avg_height
984750.0,1893750.0,
984750.0,1894250.0,
984750.0,1894750.0,
984750.0,1895250.0,
984750.0,1895750.0,
984750.0,1896250.0,
984750.0,1896750.0,
984750.0,1897250.0,
984750.0,1897750.0,
984750.0,1898250.0,
984750.0,1898750.0,
984750.0,1899250.0,
984750.0,1899750.0,
984750.0,1900250.0,
984750.0,1900750.0,
984750.0,1901250.0,
984750.0,1901750.0,
984750.0,1902250.0,
984750.0,1902750.0,
984750.0,1903250.0,
984750.0,1903750.0,
984750.0,1904250.0,
984750.0,1904750.0,
984750.0,1905250.0,
984750.0,1905750.0,
984750.0,1906250.0,
984750.0,1906750.0,
984750.0,1907250.0,
984750.0,1907750.0,
984750.0,1908250.0,
984750.0,1908750.0,
984750.0,1909250.0,
984750.0,1909750.0,
984750.0,1910250.0,
984750.0,1910750.0,
984750.0,1911250.0,
984750.0,1911750.0,
984750.0,1912250.0,
984750.0,1912750.0,
984750.0,1913250.0,
984750.0,1913750.0,
984750.0,1914250.0,
984750.0,1914750.0,
984750.0,1915250.0,
984750.0,1915750.0,
984750.0,1916250.0,7.82
984750.0,1916750.0,7.82
984750.0,1917250.0,7.82
984750.0,1917750.0,
984750.0,1918250.0,
984750.0,1918750.0,
984750.0,1919250.0,
984750.0,1919750.0,
984750.0,1920250.0,
984750.0,1920750.0,
984750.0,1921250.0,
984750.0,1921750.0,
984750.0,1922250.0,
984750.0,1922750.0,
984750.0,1923250.0,
984750.0,1923750.0,
984750.0,1924250.0,
984750.0,1924750.0,
984750.0,1925250.0,
984750.0,1925750.0,
984750.0,1926250.0,
984750.0,1926750.0,
984750.0,1927250.0,
984750.0,1927750.0,
984750.0,1928250.0,
984750.0,1928750.0,
984750.0,1929250.0,
985250.0,1893750.0,
985250.0,1894250.0,
985250.0,1894750.0,
985250.0,1895250.0,
985250.0,1895750.0,
985250.0,1896250.0,
985250.0,1896750.0,
985250.0,1897250.0,
985250.0,1897750.0,
985250.0,1898250.0,
985250.0,1898750.0,
985250.0,1899250.0,
985250.0,1899750.0,
985250.0,1900250.0,
985250.0,1900750.0,
985250.0,1901250.0,
985250.0,1901750.0,
985250.0,1902250.0,
985250.0,1902750.0,
985250.0,1903250.0,
985250.0,1903750.0,
985250.0,1904250.0,
985250.0,1904750.0,
985250.0,1905250.0,
985250.0,1905750.0,
985250.0,1906250.0,
985250.0,1906750.0,
985250.0,1907250.0,
985250.0,1907750.0,
985250.0,1908250.0,
985250.0,1908750.0,
985250.0,1909250.0,
985250.0,1909750.0,
985250.0,1910250.0,
985250.0,1910750.0,
985250.0,1911250.0,
985250.0,1911750.0,
985250.0,1912250.0,
985250.0,1912750.0,
985250.0,1913250.0,
985250.0,1913750.0,
985250.0,1914250.0,6.85
985250.0,1914750.0,5.675
985250.0,1915250.0,6.239999999999999
985250.0,1915750.0,7.0566666666666675
985250.0,1916250.0,7.5525
985250.0,1916750.0,8.2775
985250.0,1917250.0,7.9366666666666665
985250.0,1917750.0,10.27
985250.0,1918250.0,5.58
985250.0,1918750.0,6.16
985250.0,1919250.0,6.16
985250.0,1919750.0,6.74
985250.0,1920250.0,
985250.0,1920750.0,
985250.0,1921250.0,
985250.0,1921750.0,
985250.0,1922250.0,
985250.0,1922750.0,
985250.0,1923250.0,
985250.0,1923750.0,
985250.0,1924250.0,
985250.0,1924750.0,
985250.0,1925250.0,
985250.0,1925750.0,
985250.0,1926250.0,
985250.0,1926750.0,
985250.0,1927250.0,
985250.0,1927750.0,
985250.0,1928250.0,
985250.0,1928750.0,
985250.0,1929250.0,
985750.0,1893750.0,
985750.0,1894250.0,
985750.0,1894750.0,
985750.0,1895250.0,
985750.0,1895750.0,
985750.0,1896250.0,
985750.0,1896750.0,
985750.0,1897250.0,
985750.0,1897750.0,
985750.0,1898250.0,
985750.0,1898750.0,
985750.0,1899250.0,
985750.0,1899750.0,
985750.0,1900250.0,
985750.0,1900750.0,
985750.0,1901250.0,
985750.0,1901750.0,
985750.0,1902250.0,
985750.0,1902750.0,
985750.0,1903250.0,
985750.0,1903750.0,
985750.0,1904250.0,
985750.0,1904750.0,
985750.0,1905250.0,
985750.0,1905750.0,
985750.0,1906250.0,
985750.0,1906750.0,
985750.0,1907250.0,
985750.0,1907750.0,
985750.0,1908250.0,
985750.0,1908750.0,
985750.0,1909250.0,
985750.0,1909750.0,
985750.0,1910250.0,
985750.0,1910750.0,
985750.0,1911250.0,
985750.0,1911750.0,
985750.0,1912250.0,
985750.0,1912750.0,8.43
985750.0,1913250.0,8.43
985750.0,1913750.0,8.43
985750.0,1914250.0,6.85
985750.0,1914750.0,5.653333333333333
985750.0,1915250.0,6.09
985750.0,1915750.0,6.8933333333333335
985750.0,1916250.0,7.088571428571429
985750.0,1916750.0,7.5600000000000005
985750.0,1917250.0,8.076666666666666
985750.0,1917750.0,8.879999999999999
985750.0,1918250.0,7.445
985750.0,1918750.0,6.154
985750.0,1919250.0,6.335
985750.0,1919750.0,7.145
985750.0,1920250.0,6.04
985750.0,1920750.0,6.04
985750.0,1921250.0,6.04
985750.0,1921750.0,
985750.0,1922250.0,
985750.0,1922750.0,
985750.0,1923250.0,
985750.0,1923750.0,
985750.0,1924250.0,
985750.0,1924750.0,
985750.0,1925250.0,
985750.0,1925750.0,
985750.0,1926250.0,
985750.0,1926750.0,
985750.0,1927250.0,
985750.0,1927750.0,
985750.0,1928250.0,
985750.0,1928750.0,
985750.0,1929250.0,
986250.0,1893750.0,
986250.0,1894250.0,
986250.0,1894750.0,
986250.0,1895250.0,
986250.0,1895750.0,
986250.0,1896250.0,
986250.0,1896750.0,
986250.0,1897250.0,
986250.0,1897750.0,
986250.0,1898250.0,
986250.0,1898750.0,
986250.0,1899250.0,
986250.0,1899750.0,
986250.0,1900250.0,
986250.0,1900750.0,
986250.0,1901250.0,
986250.0,1901750.0,
986250.0,1902250.0,
986250.0,1902750.0,
986250.0,1903250.0,
986250.0,1903750.0,
986250.0,1904250.0,
986250.0,1904750.0,
986250.0,1905250.0,
986250.0,1905750.0,
986250.0,1906250.0,
986250.0,1906750.0,
986250.0,1907250.0,
986250.0,1907750.0,
986250.0,1908250.0,
986250.0,1908750.0,
986250.0,1909250.0,
986250.0,1909750.0,
986250.0,1910250.0,
986250.0,1910750.0,
986250.0,1911250.0,4.55
986250.0,1911750.0,4.55
986250.0,1912250.0,8.15
986250.0,1912750.0,9.040000000000001
986250.0,1913250.0,9.040000000000001
986250.0,1913750.0,7.6850000000000005
986250.0,1914250.0,6.85
986250.0,1914750.0,6.79
986250.0,1915250.0,6.812857142857142
986250.0,1915750.0,7.234444444444445
986250.0,1916250.0,7.027777777777778
986250.0,1916750.0,7.819999999999999
986250.0,1917250.0,8.3425
986250.0,1917750.0,8.45
986250.0,1918250.0,7.078571428571428
986250.0,1918750.0,6.52875
986250.0,1919250.0,6.977142857142858
986250.0,1919750.0,7.536
986250.0,1920250.0,6.5649999999999995
986250.0,1920750.0,6.263333333333333
986250.0,1921250.0,5.945
986250.0,1921750.0,
986250.0,1922250.0,
986250.0,1922750.0,
986250.0,1923250.0,
986250.0,1923750.0,
986250.0,1924250.0,
986250.0,1924750.0,
986250.0,1925250.0,
986250.0,1925750.0,
986250.0,1926250.0,
986250.0,1926750.0,
986250.0,1927250.0,
986250.0,1927750.0,
986250.0,1928250.0,
986250.0,1928750.0,
986250.0,1929250.0,
986750.0,1893750.0,
986750.0,1894250.0,
986750.0,1894750.0,
986750.0,1895250.0,
986750.0,1895750.0,
986750.0,1896250.0,
986750.0,1896750.0,
986750.0,1897250.0,
986750.0,1897750.0,
986750.0,1898250.0,
986750.0,1898750.0,
986750.0,1899250.0,
986750.0,1899750.0,
986750.0,1900250.0,
986750.0,1900750.0,
986750.0,1901250.0,
986750.0,1901750.0,
986750.0,1902250.0,
986750.0,1902750.0,
986750.0,1903250.0,
986750.0,1903750.0,
986750.0,1904250.0,
986750.0,1904750.0,
986750.0,1905250.0,
986750.0,1905750.0,
986750.0,1906250.0,
986750.0,1906750.0,
986750.0,1907250.0,
986750.0,1907750.0,
986750.0,1908250.0,
986750.0,1908750.0,
986750.0,1909250.0,
986750.0,1909750.0,
986750.0,1910250.0,
986750.0,1910750.0,23.48
