lat,lon,ta_avg,td_avg,hm_avg,geometry,ASR,DSR,RSR,Tnwb,Tg,WBGT
37.559475,127.102676,12.6,5.8,66.0,POINT (127.102676 37.559475),306.72687,350.28854,204.16347,8.974842093281543,12.974319940805435,10.137253453458166
37.564095,127.102756,12.6,5.8,65.0,POINT (127.102756 37.564095),306.72687,350.28854,204.16347,8.872194965245939,12.974319940805435,10.065400463833244
37.568714,127.102836,12.7,5.7,65.0,POINT (127.102836 37.568714),306.72687,350.28854,204.16347,8.963769122892124,13.074319940805434,10.159502374185573
37.573334,127.102916,12.7,5.6,65.0,POINT (127.102916 37.573334),293.00577,337.19226,216.78848,8.963769122892124,13.067255896329879,10.158089565290462
37.577953,127.102996,12.7,5.6,65.0,POINT (127.102996 37.577953),293.00577,337.19226,216.78848,8.963769122892124,13.067255896329879,10.158089565290462
37.582573,127.103076,12.6,5.8,65.0,POINT (127.103076 37.582573),293.00577,337.19226,216.78848,8.872194965245939,12.96725589632988,10.063987654938133
37.619532,127.103716,13.7,6.5,65.0,POINT (127.103716 37.619532),290.67114,336.2231,217.40388,9.879508381999642,14.066727739572524,11.099001415314255
37.624153,127.103797,13.5,6.9,67.0,POINT (127.103797 37.624153),287.53845,335.10382,216.69803,9.907582330259721,13.8661168217659,11.058530995534985
37.628773,127.103877,13.5,6.8,67.0,POINT (127.103877 37.628773),287.53845,335.10382,216.69803,9.907582330259721,13.8661168217659,11.058530995534985
37.559411,127.108479,13.0,6.6,68.0,POINT (127.108479 37.559411),306.72687,350.28854,204.16347,9.55058023034803,13.374319940805435,10.66027014940471
37.564031,127.10856,12.7,6.0,67.0,POINT (127.10856 37.564031),306.72687,350.28854,204.16347,9.169804697281847,13.074319940805434,10.303727276258378
37.56865,127.10864,12.6,5.7,65.0,POINT (127.10864 37.56865),293.00577,337.19226,216.78848,8.872194965245939,12.96725589632988,10.063987654938133
37.57327,127.10872,12.5,5.8,65.0,POINT (127.10872 37.57327),293.00577,337.19226,216.78848,8.78062076481379,12.86725589632988,9.969885714635629
37.57789,127.108801,12.5,5.8,65.0,POINT (127.108801 37.57789),293.00577,337.19226,216.78848,8.78062076481379,12.86725589632988,9.969885714635629
37.582509,127.108881,12.6,5.8,65.0,POINT (127.108881 37.582509),293.00577,337.19226,216.78848,8.872194965245939,12.96725589632988,10.063987654938133
37.587129,127.108962,12.6,5.7,65.0,POINT (127.108962 37.587129),290.67114,336.2231,217.40388,8.872194965245939,12.966727739572525,10.063882023586663
37.619469,127.109525,13.4,7.1,69.0,POINT (127.109525 37.619469),290.67114,336.2231,217.40388,10.02618345528192,13.766727739572525,11.11167396661185
37.624089,127.109605,13.2,7.0,70.0,POINT (127.109605 37.624089),287.53845,335.10382,216.69803,9.94539232556332,13.566116821765899,10.994997992247505
