x,y,avg_height
1107750.0,1760250.0,
1107750.0,1760750.0,
1107750.0,1761250.0,
1107750.0,1761750.0,
1107750.0,1762250.0,
1107750.0,1762750.0,
1107750.0,1763250.0,
1107750.0,1763750.0,
1107750.0,1764250.0,
1107750.0,1764750.0,
1107750.0,1765250.0,
1107750.0,1765750.0,
1107750.0,1766250.0,
1107750.0,1766750.0,
1107750.0,1767250.0,
1107750.0,1767750.0,
1107750.0,1768250.0,
1107750.0,1768750.0,
1107750.0,1769250.0,
1107750.0,1769750.0,
1107750.0,1770250.0,
1107750.0,1770750.0,
1107750.0,1771250.0,
1107750.0,1771750.0,
1107750.0,1772250.0,
1107750.0,1772750.0,
1107750.0,1773250.0,
1107750.0,1773750.0,
1107750.0,1774250.0,
1107750.0,1774750.0,
1107750.0,1775250.0,
1107750.0,1775750.0,
1107750.0,1776250.0,
1107750.0,1776750.0,
1107750.0,1777250.0,
1107750.0,1777750.0,
1107750.0,1778250.0,
1107750.0,1778750.0,
1107750.0,1779250.0,
1107750.0,1779750.0,
1107750.0,1780250.0,
1107750.0,1780750.0,
1107750.0,1781250.0,
1107750.0,1781750.0,
1107750.0,1782250.0,
1107750.0,1782750.0,
1107750.0,1783250.0,
1107750.0,1783750.0,
1107750.0,1784250.0,
1107750.0,1784750.0,
1107750.0,1785250.0,
1107750.0,1785750.0,
1107750.0,1786250.0,
1107750.0,1786750.0,
1107750.0,1787250.0,
1107750.0,1787750.0,
1107750.0,1788250.0,
1107750.0,1788750.0,
1107750.0,1789250.0,
1107750.0,1789750.0,
1107750.0,1790250.0,
1107750.0,1790750.0,
1107750.0,1791250.0,
1107750.0,1791750.0,
1107750.0,1792250.0,
1107750.0,1792750.0,
1107750.0,1793250.0,
1107750.0,1793750.0,
1107750.0,1794250.0,
1107750.0,1794750.0,
1107750.0,1795250.0,
1107750.0,1795750.0,
1107750.0,1796250.0,
1107750.0,1796750.0,
1107750.0,1797250.0,
1107750.0,1797750.0,
1107750.0,1798250.0,
1107750.0,1798750.0,
1107750.0,1799250.0,
1107750.0,1799750.0,
1108250.0,1760250.0,
1108250.0,1760750.0,
1108250.0,1761250.0,
1108250.0,1761750.0,
1108250.0,1762250.0,
1108250.0,1762750.0,
1108250.0,1763250.0,
1108250.0,1763750.0,
1108250.0,1764250.0,
1108250.0,1764750.0,
1108250.0,1765250.0,
1108250.0,1765750.0,
1108250.0,1766250.0,
1108250.0,1766750.0,
1108250.0,1767250.0,
1108250.0,1767750.0,
1108250.0,1768250.0,
1108250.0,1768750.0,
1108250.0,1769250.0,
1108250.0,1769750.0,
1108250.0,1770250.0,
1108250.0,1770750.0,
1108250.0,1771250.0,
1108250.0,1771750.0,
1108250.0,1772250.0,
1108250.0,1772750.0,
1108250.0,1773250.0,
1108250.0,1773750.0,
1108250.0,1774250.0,
1108250.0,1774750.0,
1108250.0,1775250.0,
1108250.0,1775750.0,
1108250.0,1776250.0,
1108250.0,1776750.0,
1108250.0,1777250.0,
1108250.0,1777750.0,
1108250.0,1778250.0,
1108250.0,1778750.0,
1108250.0,1779250.0,
1108250.0,1779750.0,
1108250.0,1780250.0,
1108250.0,1780750.0,3.77
1108250.0,1781250.0,3.77
1108250.0,1781750.0,3.77
1108250.0,1782250.0,
1108250.0,1782750.0,
1108250.0,1783250.0,4.5
1108250.0,1783750.0,4.5
1108250.0,1784250.0,4.5
1108250.0,1784750.0,4.6
1108250.0,1785250.0,4.6
1108250.0,1785750.0,4.6
1108250.0,1786250.0,
1108250.0,1786750.0,
1108250.0,1787250.0,
1108250.0,1787750.0,
1108250.0,1788250.0,
1108250.0,1788750.0,
1108250.0,1789250.0,
1108250.0,1789750.0,
1108250.0,1790250.0,
1108250.0,1790750.0,
1108250.0,1791250.0,
1108250.0,1791750.0,
1108250.0,1792250.0,
1108250.0,1792750.0,
1108250.0,1793250.0,
1108250.0,1793750.0,
1108250.0,1794250.0,
1108250.0,1794750.0,
1108250.0,1795250.0,
1108250.0,1795750.0,
1108250.0,1796250.0,
1108250.0,1796750.0,
1108250.0,1797250.0,
1108250.0,1797750.0,
1108250.0,1798250.0,
1108250.0,1798750.0,
1108250.0,1799250.0,
1108250.0,1799750.0,
1108750.0,1760250.0,
1108750.0,1760750.0,
1108750.0,1761250.0,
1108750.0,1761750.0,
1108750.0,1762250.0,
1108750.0,1762750.0,
1108750.0,1763250.0,
1108750.0,1763750.0,
1108750.0,1764250.0,
1108750.0,1764750.0,
1108750.0,1765250.0,
1108750.0,1765750.0,
1108750.0,1766250.0,
1108750.0,1766750.0,
1108750.0,1767250.0,
1108750.0,1767750.0,
1108750.0,1768250.0,
1108750.0,1768750.0,
1108750.0,1769250.0,
1108750.0,1769750.0,
1108750.0,1770250.0,
1108750.0,1770750.0,
1108750.0,1771250.0,
1108750.0,1771750.0,
1108750.0,1772250.0,
1108750.0,1772750.0,
1108750.0,1773250.0,
1108750.0,1773750.0,
1108750.0,1774250.0,
1108750.0,1774750.0,
1108750.0,1775250.0,
1108750.0,1775750.0,
1108750.0,1776250.0,
1108750.0,1776750.0,
1108750.0,1777250.0,
1108750.0,1777750.0,
1108750.0,1778250.0,
1108750.0,1778750.0,
1108750.0,1779250.0,
1108750.0,1779750.0,
1108750.0,1780250.0,
1108750.0,1780750.0,3.77
1108750.0,1781250.0,3.77
1108750.0,1781750.0,3.77
1108750.0,1782250.0,
1108750.0,1782750.0,
1108750.0,1783250.0,4.865
